"iperf","sysbench","ycruncher","pgbench","set","vm"
1158,8.4582,7.197,84322,1,1
1186,8.4469,7.193,84167,1,1
1201,8.4542,7.203,83924,1,1
1156,8.4596,7.198,84137.6666666667,1,1
1167,8.4463,7.212,84137.6666666667,1,1
1161,8.4477,7.211,84137.6666666667,1,1
1158,8.4493,7.196,84137.6666666667,1,1
1152,8.4705,7.188,84137.6666666667,1,1
1158,8.4544,7.189,84137.6666666667,1,1
1176,8.4503,7.215,84137.6666666667,1,1
1149,8.4644,7.23,84424,2,1
1170,8.4529,7.219,85081,2,1
1198,8.4488,7.239,85192,2,1
1214,8.4478,7.212,84899,2,1
1155,8.4503,7.219,84899,2,1
1158,8.4529,7.226,84899,2,1
1158,8.4478,7.222,84899,2,1
1160,8.4675,7.238,84899,2,1
1158,8.4489,7.238,84899,2,1
1159,8.4491,7.219,84899,2,1
1157,8.4563,7.218,83975,2,2
1160,8.4463,7.223,84618,2,2
1160,8.4468,7.232,84716,2,2
1158,8.4558,7.226,84436.3333333333,2,2
1159,8.4577,7.249,84436.3333333333,2,2
1160,8.4517,7.223,84436.3333333333,2,2
1159,8.4572,7.237,84436.3333333333,2,2
1158,8.4632,7.223,84436.3333333333,2,2
1157,8.4551,7.217,84436.3333333333,2,2
1160,8.4504,7.233,84436.3333333333,2,2
1180,8.4588,7.262,84050,3,1
1133,8.4462,7.266,84692,3,1
1151,8.4536,7.267,84705,3,1
1147,8.4524,7.252,84482.3333333333,3,1
1193,8.4453,7.283,84482.3333333333,3,1
1212,8.449,7.23,84482.3333333333,3,1
1209,8.4517,7.27,84482.3333333333,3,1
1181,8.4663,7.293,84482.3333333333,3,1
1191,8.4452,7.259,84482.3333333333,3,1
1143,8.4478,7.261,84482.3333333333,3,1
1158,8.4609,7.248,83334,3,2
1158,8.4475,7.271,84068,3,2
1183,8.4507,7.28,84171,3,2
1085,8.4517,7.257,83857.6666666667,3,2
1035,8.4496,7.256,83857.6666666667,3,2
1193,8.45,7.249,83857.6666666667,3,2
1210,8.4603,7.236,83857.6666666667,3,2
1141,8.4641,7.273,83857.6666666667,3,2
1159,8.4502,7.276,83857.6666666667,3,2
1160,8.4466,7.26,83857.6666666667,3,2
1158,8.4535,7.262,81150,3,3
1158,8.4468,7.271,81654,3,3
1161,8.4521,7.283,81796,3,3
1158,8.4536,7.274,81533.3333333333,3,3
1160,8.4514,7.276,81533.3333333333,3,3
1188,8.4542,7.256,81533.3333333333,3,3
1110,8.4592,7.266,81533.3333333333,3,3
1160,8.455,7.277,81533.3333333333,3,3
1159,8.4456,7.279,81533.3333333333,3,3
1161,8.4451,7.265,81533.3333333333,3,3
1209,8.4571,7.24,84300,4,1
1219,8.4455,7.262,84340,4,1
1159,8.4502,7.257,83221,4,1
1168,8.4539,7.247,83953.6666666667,4,1
1186,8.4589,7.246,83953.6666666667,4,1
1164,8.4537,7.277,83953.6666666667,4,1
1149,8.4515,7.263,83953.6666666667,4,1
1175,8.4705,7.287,83953.6666666667,4,1
1180,8.4486,7.247,83953.6666666667,4,1
1150,8.4452,7.251,83953.6666666667,4,1
1163,8.456,7.28,83448,4,2
1162,8.4519,7.27,83448,4,2
1163,8.4518,7.277,82504,4,2
1218,8.4588,7.26,83133.3333333333,4,2
1222,8.4509,7.282,83133.3333333333,4,2
1199,8.45,7.291,83133.3333333333,4,2
1181,8.4585,7.257,83133.3333333333,4,2
1154,8.4696,7.271,83133.3333333333,4,2
1159,8.4482,7.283,83133.3333333333,4,2
1159,8.451,7.273,83133.3333333333,4,2
1158,8.4536,7.283,81422,4,3
1159,8.4462,7.275,81033,4,3
1164,8.446,7.28,80778,4,3
1166,8.4587,7.284,81077.6666666667,4,3
1170,8.4465,7.284,81077.6666666667,4,3
1173,8.452,7.278,81077.6666666667,4,3
1173,8.4612,7.304,81077.6666666667,4,3
1160,8.4617,7.284,81077.6666666667,4,3
1159,8.4459,7.287,81077.6666666667,4,3
1161,8.4401,7.268,81077.6666666667,4,3
1162,8.4475,7.234,83313,4,4
1162,8.455,7.254,83404,4,4
1192,8.4501,7.237,82330,4,4
1164,8.4536,7.246,83015.6666666667,4,4
1179,8.4518,7.234,83015.6666666667,4,4
1193,8.4569,7.245,83015.6666666667,4,4
1174,8.4526,7.262,83015.6666666667,4,4
1161,8.4457,7.232,83015.6666666667,4,4
1161,8.4495,7.236,83015.6666666667,4,4
1161,8.4457,7.252,83015.6666666667,4,4
1222,8.454,7.302,82720,5,1
1204,8.4506,7.284,81640,5,1
1197,8.4543,7.302,83533,5,1
1210,8.4545,7.281,82631,5,1
1192,8.4537,7.3,82631,5,1
1175,8.4546,7.283,82631,5,1
1190,8.4564,7.292,82631,5,1
1170,8.4706,7.293,82631,5,1
1167,8.451,7.277,82631,5,1
1181,8.4538,7.277,82631,5,1
1161,8.4586,7.297,82100,5,2
1178,8.4515,7.279,80947,5,2
1169,8.4546,7.297,82737,5,2
1180,8.4517,7.273,81928,5,2
1190,8.4454,7.292,81928,5,2
1205,8.4512,7.293,81928,5,2
1187,8.4541,7.279,81928,5,2
1163,8.4694,7.291,81928,5,2
1168,8.4508,7.281,81928,5,2
1176,8.4564,7.305,81928,5,2
1172,8.4494,7.316,81552,5,3
1171,8.457,7.3,80953,5,3
1172,8.4515,7.295,82061,5,3
1172,8.448,7.329,81522,5,3
1193,8.4469,7.327,81522,5,3
1249,8.4468,7.304,81522,5,3
1225,8.4618,7.288,81522,5,3
1167,8.4619,7.319,81522,5,3
1167,8.4506,7.335,81522,5,3
1164,8.4515,7.329,81522,5,3
1187,8.4513,7.24,82144,5,4
1183,8.4511,7.257,80963,5,4
1177,8.4499,7.263,82878,5,4
1178,8.4454,7.224,81995,5,4
1182,8.4491,7.266,81995,5,4
1170,8.4566,7.246,81995,5,4
1170,8.4541,7.269,81995,5,4
1122,8.4495,7.254,81995,5,4
1176,8.4524,7.236,81995,5,4
1159,8.4511,7.258,81995,5,4
1161,8.4499,7.261,81212,5,5
1189,8.4448,7.275,80865,5,5
1176,8.4532,7.282,81874,5,5
1180,8.4561,7.282,81317,5,5
1234,8.4491,7.269,81317,5,5
999,8.4497,7.277,81317,5,5
1187,8.4545,7.275,81317,5,5
1139,8.4489,7.286,81317,5,5
1172,8.45,7.262,81317,5,5
1013,8.4645,7.264,81317,5,5
1185,8.4648,7.322,82285,6,1
1219,8.4466,7.313,82621,6,1
1205,8.4562,7.307,82972,6,1
1191,8.4533,7.333,82626,6,1
1193,8.4582,7.341,82626,6,1
1185,8.4521,7.347,82626,6,1
1164,8.4509,7.31,82626,6,1
1124,8.4539,7.347,82626,6,1
1217,8.4461,7.329,82626,6,1
1189,8.4463,7.363,82626,6,1
1223,8.4618,7.303,81263,6,2
1215,8.4521,7.358,81735,6,2
1213,8.4519,7.328,82175,6,2
1189,8.4563,7.327,81724.3333333333,6,2
1199,8.4508,7.344,81724.3333333333,6,2
1199,8.4515,7.339,81724.3333333333,6,2
1184,8.453,7.332,81724.3333333333,6,2
1182,8.4735,7.33,81724.3333333333,6,2
1186,8.4526,7.334,81724.3333333333,6,2
1129,8.454,7.343,81724.3333333333,6,2
1225,8.4482,7.347,81844,6,3
1206,8.4468,7.338,81820,6,3
1230,8.4553,7.337,83197,6,3
1166,8.4542,7.349,82287,6,3
1179,8.451,7.368,82287,6,3
1179,8.4526,7.344,82287,6,3
1171,8.4666,7.35,82287,6,3
1184,8.467,7.356,82287,6,3
1157,8.449,7.332,82287,6,3
1103,8.4459,7.365,82287,6,3
1225,8.4587,7.251,81947,6,4
1085,8.4589,7.249,82293,6,4
1147,8.4488,7.224,82803,6,4
1097,8.4466,7.255,82347.6666666667,6,4
1178,8.4591,7.235,82347.6666666667,6,4
1116,8.4524,7.248,82347.6666666667,6,4
1151,8.4456,7.223,82347.6666666667,6,4
1137,8.4498,7.24,82347.6666666667,6,4
1141,8.4555,7.238,82347.6666666667,6,4
1045,8.4535,7.236,82347.6666666667,6,4
1203,8.4548,7.31,81557,6,5
1189,8.4517,7.311,81469,6,5
1177,8.4511,7.305,82885,6,5
1177,8.4619,7.293,81970.3333333333,6,5
1213,8.4509,7.308,81970.3333333333,6,5
1206,8.4516,7.308,81970.3333333333,6,5
1202,8.4531,7.31,81970.3333333333,6,5
1188,8.4611,7.312,81970.3333333333,6,5
1174,8.4567,7.302,81970.3333333333,6,5
822,8.4564,7.318,81970.3333333333,6,5
1196,8.4508,7.285,82452,6,6
1184,8.4607,7.298,82835,6,6
1193,8.4479,7.318,83290,6,6
1177,8.4463,7.293,82859,6,6
1249,8.4596,7.305,82859,6,6
1194,8.4515,7.322,82859,6,6
1188,8.4459,7.28,82859,6,6
