"iperf","sysbench","ycruncher","pgbench","set","vm"
1172,8.45,7.262,54965.6666666667,5,5
1013,8.4645,7.264,54965.6666666667,5,5
1185,8.4648,7.322,56428,6,1
1219,8.4466,7.313,56774,6,1
1205,8.4562,7.307,56835,6,1
1191,8.4533,7.333,56679,6,1
1193,8.4582,7.341,56679,6,1
1185,8.4521,7.347,56679,6,1
1164,8.4509,7.31,56679,6,1
1124,8.4539,7.347,56679,6,1
1217,8.4461,7.329,56679,6,1
1189,8.4463,7.363,56679,6,1
1223,8.4618,7.303,63949,6,2
1215,8.4521,7.358,63614,6,2
1213,8.4519,7.328,63581,6,2
1189,8.4563,7.327,63714.6666666667,6,2
1199,8.4508,7.344,63714.6666666667,6,2
1199,8.4515,7.339,63714.6666666667,6,2
1184,8.453,7.332,63714.6666666667,6,2
1182,8.4735,7.33,63714.6666666667,6,2
1186,8.4526,7.334,63714.6666666667,6,2
1129,8.454,7.343,63714.6666666667,6,2
1225,8.4482,7.347,62921,6,3
1206,8.4468,7.338,59962,6,3
1230,8.4553,7.337,62013,6,3
1166,8.4542,7.349,61632,6,3
1179,8.451,7.368,61632,6,3
1179,8.4526,7.344,61632,6,3
1171,8.4666,7.35,61632,6,3
1184,8.467,7.356,61632,6,3
1157,8.449,7.332,61632,6,3
1103,8.4459,7.365,61632,6,3
1225,8.4587,7.251,55696,6,4
1085,8.4589,7.249,56704,6,4
1147,8.4488,7.224,56772,6,4
1097,8.4466,7.255,56390.6666666667,6,4
1178,8.4591,7.235,56390.6666666667,6,4
1116,8.4524,7.248,56390.6666666667,6,4
1151,8.4456,7.223,56390.6666666667,6,4
1137,8.4498,7.24,56390.6666666667,6,4
1141,8.4555,7.238,56390.6666666667,6,4
1045,8.4535,7.236,56390.6666666667,6,4
1203,8.4548,7.31,52227,6,5
1189,8.4517,7.311,54107,6,5
1177,8.4511,7.305,54827,6,5
1177,8.4619,7.293,53720.3333333333,6,5
1213,8.4509,7.308,53720.3333333333,6,5
1206,8.4516,7.308,53720.3333333333,6,5
1202,8.4531,7.31,53720.3333333333,6,5
1188,8.4611,7.312,53720.3333333333,6,5
1174,8.4567,7.302,53720.3333333333,6,5
822,8.4564,7.318,53720.3333333333,6,5
1196,8.4508,7.285,60544,6,6
1184,8.4607,7.298,60924,6,6
1193,8.4479,7.318,61551,6,6
1177,8.4463,7.293,61006.3333333333,6,6
1249,8.4596,7.305,61006.3333333333,6,6
1194,8.4515,7.322,61006.3333333333,6,6
1188,8.4459,7.28,61006.3333333333,6,6
1181,8.4477,7.303,61006.3333333333,6,6
1172,8.4524,7.314,61006.3333333333,6,6
1170,8.451,7.296,61006.3333333333,6,6
