instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.18921399,10,10,1,TPC-B (sort of),simple,60 s,53937,53937,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.18853664,10,10,1,TPC-B (sort of),simple,60 s,54881,54881,,
i-0629fca2b4de7b9a1,1531185246,c4.large,60.20041943,10,10,1,TPC-B (sort of),simple,60 s,53986,53986,,
i-0ac7501019866fc6f,1531185246,c4.large,60.46113348,10,10,1,TPC-B (sort of),simple,60 s,63156,63156,,
i-0ac7501019866fc6f,1531185246,c4.large,60.17378783,10,10,1,TPC-B (sort of),simple,60 s,63149,63149,,
i-0ac7501019866fc6f,1531185246,c4.large,60.16796517,10,10,1,TPC-B (sort of),simple,60 s,64864,64864,,
i-0ac7501019866fc6f,1531185246,c4.large,60.26608324,10,10,1,TPC-B (sort of),simple,60 s,64700,64700,,
i-0dad89950d3beb598,1531185246,c4.large,60.36740398,10,10,1,TPC-B (sort of),simple,60 s,54016,54016,,
i-0dad89950d3beb598,1531185246,c4.large,60.17813277,10,10,1,TPC-B (sort of),simple,60 s,55004,55004,,
i-0dad89950d3beb598,1531185246,c4.large,60.17143941,10,10,1,TPC-B (sort of),simple,60 s,53493,53493,,
i-0dad89950d3beb598,1531185246,c4.large,60.2629478,10,10,1,TPC-B (sort of),simple,60 s,55455,55455,,
i-0dad89950d3beb598,1531185246,c4.large,60.17725754,10,10,1,TPC-B (sort of),simple,60 s,56111,56111,,
i-0dad89950d3beb598,1531185246,c4.large,60.17165732,10,10,1,TPC-B (sort of),simple,60 s,57466,57466,,
i-0dad89950d3beb598,1531185246,c4.large,60.16406798,10,10,1,TPC-B (sort of),simple,60 s,57154,57154,,
i-0dad89950d3beb598,1531185246,c4.large,60.17157602,10,10,1,TPC-B (sort of),simple,60 s,56794,56794,,
i-0dad89950d3beb598,1531185246,c4.large,60.17734313,10,10,1,TPC-B (sort of),simple,60 s,57037,57037,,
i-0dad89950d3beb598,1531185246,c4.large,60.1690135,10,10,1,TPC-B (sort of),simple,60 s,56702,56702,,
i-0dad89950d3beb598,1531185246,c4.large,60.23278785,10,10,1,TPC-B (sort of),simple,60 s,56806,56806,,
i-0dad89950d3beb598,1531185246,c4.large,60.17016768,10,10,1,TPC-B (sort of),simple,60 s,57548,57548,,
i-0dad89950d3beb598,1531185246,c4.large,60.17123604,10,10,1,TPC-B (sort of),simple,60 s,56148,56148,,
i-0be78724cd4e7adcc,1531185246,c4.large,60.54138279,10,10,1,TPC-B (sort of),simple,60 s,55410,55410,,
i-0be78724cd4e7adcc,1531185246,c4.large,60.19072723,10,10,1,TPC-B (sort of),simple,60 s,55617,55617,,
i-09c2aac4490d11677,1531185246,c4.large,60.32923007,10,10,1,TPC-B (sort of),simple,60 s,53245,53245,,
i-09c2aac4490d11677,1531185246,c4.large,60.18948293,10,10,1,TPC-B (sort of),simple,60 s,54692,54692,,
i-09c2aac4490d11677,1531185246,c4.large,60.19251752,10,10,1,TPC-B (sort of),simple,60 s,54476,54476,,
i-09c2aac4490d11677,1531185246,c4.large,60.19501305,10,10,1,TPC-B (sort of),simple,60 s,54052,54052,,
i-09c2aac4490d11677,1531185246,c4.large,60.18746567,10,10,1,TPC-B (sort of),simple,60 s,52757,52757,,
i-09c2aac4490d11677,1531185246,c4.large,60.20382285,10,10,1,TPC-B (sort of),simple,60 s,52668,52668,,
i-09c2aac4490d11677,1531185246,c4.large,60.19625616,10,10,1,TPC-B (sort of),simple,60 s,53457,53457,,
i-09c2aac4490d11677,1531185246,c4.large,60.20094562,10,10,1,TPC-B (sort of),simple,60 s,53206,53206,,
i-09c2aac4490d11677,1531185246,c4.large,60.20713353,10,10,1,TPC-B (sort of),simple,60 s,53677,53677,,
i-09c2aac4490d11677,1531185246,c4.large,60.19777513,10,10,1,TPC-B (sort of),simple,60 s,54013,54013,,
