instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,Upload,Download,Total,setId,vmId,cmd,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.37 Gbits/sec,9.6,7.37,16.97,2,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.58 Gbits/sec,9.6,7.58,17.18,2,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.54 Gbits/sec,9.6,7.54,17.14,2,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.36 Gbits/sec,9.6,7.36,16.96,2,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,17.27,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,7.28 Gbits/sec,6.30 Gbits/sec,7.28,6.3,13.58,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,9.52 Gbits/sec,5.67 Gbits/sec,9.52,5.67,15.19,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,8.77 Gbits/sec,4.31 Gbits/sec,8.77,4.31,13.08,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,6.70 Gbits/sec,5.71 Gbits/sec,6.7,5.71,12.41,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,746 Mbits/sec,7.65 Gbits/sec,0.746,7.65,8.396,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,746 Mbits/sec,7.53 Gbits/sec,0.746,7.53,8.276,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,746 Mbits/sec,7.38 Gbits/sec,0.746,7.38,8.126,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,3.30 Gbits/sec,1.96 Gbits/sec,3.3,1.96,5.26,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,595 Mbits/sec,0.745,0.595,1.34,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,735 Mbits/sec,7.77 Gbits/sec,0.735,7.77,8.505,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,738 Mbits/sec,4.94 Gbits/sec,0.738,4.94,5.678,3,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,7.32 Gbits/sec,4.61 Gbits/sec,7.32,4.61,11.93,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,7.30 Gbits/sec,5.68 Gbits/sec,7.3,5.68,12.98,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,7.53 Gbits/sec,4.18 Gbits/sec,7.53,4.18,11.71,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,7.66 Gbits/sec,6.73 Gbits/sec,7.66,6.73,14.39,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.45 Gbits/sec,9.6,6.45,16.05,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.56 Gbits/sec,9.6,6.56,16.16,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.53 Gbits/sec,6.41 Gbits/sec,9.53,6.41,15.94,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.08 Gbits/sec,9.6,7.08,16.68,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.17 Gbits/sec,9.6,7.17,16.77,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.58 Gbits/sec,6.18 Gbits/sec,9.58,6.18,15.76,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.58 Gbits/sec,6.93 Gbits/sec,9.58,6.93,16.51,3,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.18 Gbits/sec,5.64 Gbits/sec,9.18,5.64,14.82,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,7.65 Gbits/sec,4.29 Gbits/sec,7.65,4.29,11.94,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,8.26 Gbits/sec,4.15 Gbits/sec,8.26,4.15,12.41,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
