iperf,sysbench,ycruncher,pgbench,setId,vmId
7.67,9.023,3.793,39560,9,9
8.21,9.0196,3.795,38827,9,9
10.99,9.0334,3.807,39109,9,9
2.81,9.0203,4.295,33559,10,1
1.488,9.024,4.313,31768,10,1
1.489,9.0317,4.278,31941,10,1
2.81,9.0212,4.304,32870,10,2
1.488,9.0215,4.3,31843,10,2
1.488,9.032,4.322,31758,10,2
2.76,9.0279,4.274,39174,10,3
1.511,9.0193,4.28,37390,10,3
1.539,9.0188,4.281,39060,10,3
2.52,9.0375,4.283,39666,10,4
3.752,9.0355,4.265,39395,10,4
1.493,9.0199,4.285,39319,10,4
3.55,9.0294,4.267,32806,10,5
1.605,9.0313,4.306,32022,10,5
4.421,9.016,4.289,31569,10,5
6.11,9.0251,3.84,33276,10,6
1.582,9.0292,3.846,31620,10,6
2.843,9.0325,3.825,31941,10,6
5.94,9.0267,4.251,33591,10,7
7.59,9.0221,4.289,31956,10,7
10.13,9.0321,4.281,31738,10,7
5.82,9.0351,4.299,56143,10,8
7.96,9.0175,4.321,53763,10,8
5.39,9.0227,4.299,53625,10,8
8.01,9.0242,4.277,39437,10,9
10.41,9.0306,4.275,39259,10,9
5.42,9.0192,4.289,39275,10,9
8.94,9.0222,3.85,39278,10,10
7.52,9.0197,3.852,37722,10,10
10.37,9.0332,3.846,38926,10,10
2.51,9.0198,4.302,33018,11,1
1.511,9.0253,4.31,31843,11,1
1.963,9.0323,4.294,31811,11,1
2.6,9.0209,4.33,33137,11,2
1.509,9.0192,4.332,32159,11,2
1.503,9.026,4.339,31780,11,2
2.62,9.0284,4.273,39832,11,3
1.499,9.0184,4.251,39356,11,3
1.494,9.0172,4.242,38562,11,3
2.12,9.0208,4.284,35510,11,4
1.794,9.0196,4.295,36295,11,4
1.48,9.0293,4.296,35483,11,4
2.46,9.0251,4.298,32987,11,5
1.501,9.0319,4.282,32097,11,5
1.509,9.0226,4.285,31978,11,5
3.14,9.0255,4.034,32950,11,6
1.595,9.0305,4.038,31981,11,6
1.5,9.016,4.053,31859,11,6
5.55,9.0277,4.059,33146,11,7
1.603,9.0309,4.062,31963,11,7
1.487,9.0393,4.045,31496,11,7
4.25,9.0276,4.292,50134,11,8
6.54,9.0254,4.306,46673,11,8
5.65,9.0333,4.284,47822,11,8
6.16,9.034,4.323,35679,11,9
10.16,9.0173,4.315,36232,11,9
5.68,9.0235,4.328,35578,11,9
11.03,9.02,4.273,35778,11,10
8.51,9.0308,4.27,36475,11,10
13.4,9.0196,4.29,35459,11,10
4.24,9.0217,4.067,40018,11,11
5.64,9.0201,4.07,39201,11,11
5.69,9.0255,4.068,38694,11,11
2.46,9.0225,4.267,32821,12,1
1.883,9.0245,4.275,32302,12,1
1.481,9.031,4.262,31679,12,1
2.74,9.033,4.294,32721,12,2
1.563,9.017,4.315,32322,12,2
