"iperf","sysbench","ycruncher","pgbench","set","vm"
1178,8.4454,7.224,63031.6666666667,5,4
1182,8.4491,7.266,63031.6666666667,5,4
1170,8.4566,7.246,63031.6666666667,5,4
1170,8.4541,7.269,63031.6666666667,5,4
1122,8.4495,7.254,63031.6666666667,5,4
1176,8.4524,7.236,63031.6666666667,5,4
1159,8.4511,7.258,63031.6666666667,5,4
1161,8.4499,7.261,65409,5,5
1189,8.4448,7.275,65103,5,5
1176,8.4532,7.282,65257,5,5
1180,8.4561,7.282,65256.3333333333,5,5
1234,8.4491,7.269,65256.3333333333,5,5
999,8.4497,7.277,65256.3333333333,5,5
1187,8.4545,7.275,65256.3333333333,5,5
1139,8.4489,7.286,65256.3333333333,5,5
1172,8.45,7.262,65256.3333333333,5,5
1013,8.4645,7.264,65256.3333333333,5,5
1185,8.4648,7.322,66030,6,1
1219,8.4466,7.313,65545,6,1
1205,8.4562,7.307,65202,6,1
1191,8.4533,7.333,65592.3333333333,6,1
1193,8.4582,7.341,65592.3333333333,6,1
1185,8.4521,7.347,65592.3333333333,6,1
1164,8.4509,7.31,65592.3333333333,6,1
1124,8.4539,7.347,65592.3333333333,6,1
1217,8.4461,7.329,65592.3333333333,6,1
1189,8.4463,7.363,65592.3333333333,6,1
1223,8.4618,7.303,64604,6,2
1215,8.4521,7.358,64761,6,2
1213,8.4519,7.328,64124,6,2
1189,8.4563,7.327,64496.3333333333,6,2
1199,8.4508,7.344,64496.3333333333,6,2
1199,8.4515,7.339,64496.3333333333,6,2
1184,8.453,7.332,64496.3333333333,6,2
1182,8.4735,7.33,64496.3333333333,6,2
1186,8.4526,7.334,64496.3333333333,6,2
1129,8.454,7.343,64496.3333333333,6,2
1225,8.4482,7.347,63986,6,3
1206,8.4468,7.338,64485,6,3
1230,8.4553,7.337,63303,6,3
1166,8.4542,7.349,63924.6666666667,6,3
1179,8.451,7.368,63924.6666666667,6,3
1179,8.4526,7.344,63924.6666666667,6,3
1171,8.4666,7.35,63924.6666666667,6,3
1184,8.467,7.356,63924.6666666667,6,3
1157,8.449,7.332,63924.6666666667,6,3
1103,8.4459,7.365,63924.6666666667,6,3
1225,8.4587,7.251,62341,6,4
1085,8.4589,7.249,62411,6,4
1147,8.4488,7.224,62071,6,4
1097,8.4466,7.255,62274.3333333333,6,4
1178,8.4591,7.235,62274.3333333333,6,4
1116,8.4524,7.248,62274.3333333333,6,4
1151,8.4456,7.223,62274.3333333333,6,4
1137,8.4498,7.24,62274.3333333333,6,4
1141,8.4555,7.238,62274.3333333333,6,4
1045,8.4535,7.236,62274.3333333333,6,4
1203,8.4548,7.31,66137,6,5
1189,8.4517,7.311,65392,6,5
1177,8.4511,7.305,65533,6,5
1177,8.4619,7.293,65687.3333333333,6,5
1213,8.4509,7.308,65687.3333333333,6,5
1206,8.4516,7.308,65687.3333333333,6,5
1202,8.4531,7.31,65687.3333333333,6,5
1188,8.4611,7.312,65687.3333333333,6,5
1174,8.4567,7.302,65687.3333333333,6,5
822,8.4564,7.318,65687.3333333333,6,5
1196,8.4508,7.285,64995,6,6
1184,8.4607,7.298,64954,6,6
1193,8.4479,7.318,63738,6,6
1177,8.4463,7.293,64562.3333333333,6,6
1249,8.4596,7.305,64562.3333333333,6,6
1194,8.4515,7.322,64562.3333333333,6,6
1188,8.4459,7.28,64562.3333333333,6,6
1181,8.4477,7.303,64562.3333333333,6,6
1172,8.4524,7.314,64562.3333333333,6,6
1170,8.451,7.296,64562.3333333333,6,6
1038,8.4561,7.384,65184,7,1
1036,8.4455,7.396,65142,7,1
993,8.4497,7.371,65634,7,1
1211,8.4481,7.371,65320,7,1
1214,8.4546,7.364,65320,7,1
1208,8.4524,7.38,65320,7,1
1183,8.4542,7.371,65320,7,1
1174,8.4672,7.712,65320,7,1
1199,8.4511,8.165,65320,7,1
1185,8.4579,7.374,65320,7,1
1203,8.4597,7.397,64083,7,2
1192,8.4567,7.387,63492,7,2
1184,8.4566,7.381,64772,7,2
1213,8.4529,7.377,64115.6666666667,7,2
1163,8.4561,7.354,64115.6666666667,7,2
1234,8.4529,7.378,64115.6666666667,7,2
986,8.4549,7.352,64115.6666666667,7,2
1045,8.4659,7.738,64115.6666666667,7,2
922,8.4514,8.114,64115.6666666667,7,2
1032,8.4574,7.362,64115.6666666667,7,2
1237,8.4555,7.396,63477,7,3
1042,8.4526,7.404,64101,7,3
1026,8.4535,7.396,63599,7,3
1154,8.4587,7.362,63725.6666666667,7,3
1168,8.4559,7.376,63725.6666666667,7,3
1121,8.4523,7.392,63725.6666666667,7,3
1098,8.4786,7.394,63725.6666666667,7,3
990,8.4674,7.767,63725.6666666667,7,3
1079,8.4524,8.117,63725.6666666667,7,3
1083,8.4547,7.378,63725.6666666667,7,3
1216,8.4492,7.252,62239,7,4
1012,8.4544,7.255,61014,7,4
1072,8.4498,7.24,62587,7,4
1100,8.4487,7.261,61946.6666666667,7,4
1098,8.4527,7.232,61946.6666666667,7,4
1086,8.4562,7.257,61946.6666666667,7,4
1048,8.4494,7.24,61946.6666666667,7,4
1145,8.4473,7.494,61946.6666666667,7,4
1182,8.4526,7.79,61946.6666666667,7,4
1181,8.4558,7.243,61946.6666666667,7,4
1128,8.451,7.348,65826,7,5
1143,8.4463,7.38,65232,7,5
1159,8.451,7.363,65556,7,5
1184,8.4522,7.348,65538,7,5
1177,8.4454,7.324,65538,7,5
993,8.4456,7.355,65538,7,5
1193,8.4555,7.365,65538,7,5
1201,8.4506,7.689,65538,7,5
1008,8.4497,8.137,65538,7,5
1053,8.4569,7.362,65538,7,5
1208,8.4551,7.366,65088,7,6
1191,8.4546,7.386,63361,7,6
1172,8.4451,7.335,64391,7,6
1190,8.4496,7.332,64280,7,6
1158,8.454,7.367,64280,7,6
1227,8.4545,7.335,64280,7,6
1152,8.4516,7.354,64280,7,6
1199,8.4466,7.698,64280,7,6
1222,8.4579,8.063,64280,7,6
908,8.4494,7.356,64280,7,6
1245,8.4554,7.337,63868,7,7
1179,8.4503,7.347,63860,7,7
1176,8.4527,7.327,64211,7,7
1188,8.4554,7.334,63979.6666666667,7,7
1183,8.4542,7.314,63979.6666666667,7,7
1181,8.4628,7.338,63979.6666666667,7,7
1085,8.4521,7.37,63979.6666666667,7,7
1204,8.4713,7.676,63979.6666666667,7,7
1215,8.4564,8.155,63979.6666666667,7,7
1218,8.4548,7.337,63979.6666666667,7,7
1047,8.4624,7.526,65210,8,1
1199,8.4511,7.516,65990,8,1
1183,8.4516,7.533,65300,8,1
1238,8.4537,7.553,65500,8,1
1202,8.4516,7.535,65500,8,1
1182,8.4548,7.524,65500,8,1
899,8.4522,7.548,65500,8,1
973,8.4601,7.562,65500,8,1
1215,8.4651,7.544,65500,8,1
1201,8.4498,7.527,65500,8,1
895,8.4652,7.52,64455,8,2
1027,8.4476,7.52,65605,8,2
1136,8.4465,7.535,64134,8,2
1217,8.461,7.541,64731.3333333333,8,2
1230,8.4534,7.536,64731.3333333333,8,2
1188,8.4488,7.527,64731.3333333333,8,2
1040,8.4531,7.551,64731.3333333333,8,2
1195,8.4718,7.555,64731.3333333333,8,2
1021,8.4526,7.545,64731.3333333333,8,2
1161,8.4521,7.547,64731.3333333333,8,2
588,8.4499,7.541,64045,8,3
911,8.4502,7.536,64574,8,3
921,8.4472,7.563,65062,8,3
1243,8.4588,7.566,64560.3333333333,8,3
1005,8.4489,7.53,64560.3333333333,8,3
938,8.4557,7.551,64560.3333333333,8,3
977,8.4683,7.572,64560.3333333333,8,3
985,8.4645,7.564,64560.3333333333,8,3
903,8.4544,7.547,64560.3333333333,8,3
893,8.4512,7.596,64560.3333333333,8,3
950,8.4519,7.242,61891,8,4
972,8.4534,7.24,63267,8,4
909,8.4521,7.246,62790,8,4
1149,8.4518,7.251,62649.3333333333,8,4
1186,8.4569,7.247,62649.3333333333,8,4
1193,8.464,7.257,62649.3333333333,8,4
791,8.4549,7.245,62649.3333333333,8,4
1021,8.4518,7.229,62649.3333333333,8,4
1078,8.4569,7.247,62649.3333333333,8,4
1022,8.4508,7.243,62649.3333333333,8,4
980,8.4565,7.518,65269,8,5
930,8.4544,7.508,65363,8,5
892,8.4492,7.515,65743,8,5
1192,8.4536,7.543,65458.3333333333,8,5
1024,8.4464,7.503,65458.3333333333,8,5
1049,8.4482,7.525,65458.3333333333,8,5
