instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions
i-06950b814662ddbcc,1532132304,c3.large,60.37874412536621,10,10,1,TPC-B (sort of),simple,60 s,56105
i-06950b814662ddbcc,1532132304,c3.large,60.22979545593262,10,10,1,TPC-B (sort of),simple,60 s,56694
i-06950b814662ddbcc,1532132304,c3.large,60.248910427093506,10,10,1,TPC-B (sort of),simple,60 s,57514
i-06950b814662ddbcc,1532132304,c3.large,60.27436709403992,10,10,1,TPC-B (sort of),simple,60 s,54651
i-06950b814662ddbcc,1532132304,c3.large,60.268882036209106,10,10,1,TPC-B (sort of),simple,60 s,54829
i-06950b814662ddbcc,1532132304,c3.large,60.2940878868103,10,10,1,TPC-B (sort of),simple,60 s,54987
i-0ca87c1c981dca37d,1532132304,c3.large,60.36415338516235,10,10,1,TPC-B (sort of),simple,60 s,54015
i-0ca87c1c981dca37d,1532132304,c3.large,60.239659547805786,10,10,1,TPC-B (sort of),simple,60 s,54959
i-0ca87c1c981dca37d,1532132304,c3.large,60.25816345214844,10,10,1,TPC-B (sort of),simple,60 s,55600
i-003c9b18c0ea5d149,1532132304,c3.large,60.39603877067566,10,10,1,TPC-B (sort of),simple,60 s,61259
i-003c9b18c0ea5d149,1532132304,c3.large,60.19310665130615,10,10,1,TPC-B (sort of),simple,60 s,60448
i-003c9b18c0ea5d149,1532132304,c3.large,60.189791679382324,10,10,1,TPC-B (sort of),simple,60 s,62637
i-003c9b18c0ea5d149,1532132304,c3.large,60.34759759902954,10,10,1,TPC-B (sort of),simple,60 s,61519
i-003c9b18c0ea5d149,1532132304,c3.large,60.208364963531494,10,10,1,TPC-B (sort of),simple,60 s,62926
i-003c9b18c0ea5d149,1532132304,c3.large,60.200255393981934,10,10,1,TPC-B (sort of),simple,60 s,61663
i-003c9b18c0ea5d149,1532132304,c3.large,60.30503296852112,10,10,1,TPC-B (sort of),simple,60 s,62672
i-003c9b18c0ea5d149,1532132304,c3.large,60.18986487388611,10,10,1,TPC-B (sort of),simple,60 s,63533
i-003c9b18c0ea5d149,1532132304,c3.large,60.20052933692932,10,10,1,TPC-B (sort of),simple,60 s,63424
i-003c9b18c0ea5d149,1532132304,c3.large,60.21038246154785,10,10,1,TPC-B (sort of),simple,60 s,61388
i-003c9b18c0ea5d149,1532132304,c3.large,60.1885027885437,10,10,1,TPC-B (sort of),simple,60 s,63520
i-003c9b18c0ea5d149,1532132304,c3.large,60.19021010398865,10,10,1,TPC-B (sort of),simple,60 s,63657
i-003c9b18c0ea5d149,1532132304,c3.large,60.28498458862305,10,10,1,TPC-B (sort of),simple,60 s,62451
i-003c9b18c0ea5d149,1532132304,c3.large,60.20426344871521,10,10,1,TPC-B (sort of),simple,60 s,62590
i-003c9b18c0ea5d149,1532132304,c3.large,60.194716453552246,10,10,1,TPC-B (sort of),simple,60 s,62382
i-003c9b18c0ea5d149,1532132304,c3.large,60.34154272079468,10,10,1,TPC-B (sort of),simple,60 s,62099
i-003c9b18c0ea5d149,1532132304,c3.large,60.26973915100098,10,10,1,TPC-B (sort of),simple,60 s,61504
i-003c9b18c0ea5d149,1532132304,c3.large,60.32859539985657,10,10,1,TPC-B (sort of),simple,60 s,61993
i-003c9b18c0ea5d149,1532132304,c3.large,60.34347438812256,10,10,1,TPC-B (sort of),simple,60 s,59534
i-003c9b18c0ea5d149,1532132304,c3.large,60.41453790664673,10,10,1,TPC-B (sort of),simple,60 s,59445
i-003c9b18c0ea5d149,1532132304,c3.large,60.27678894996643,10,10,1,TPC-B (sort of),simple,60 s,60864
i-003c9b18c0ea5d149,1532132304,c3.large,60.28279757499695,10,10,1,TPC-B (sort of),simple,60 s,61711
i-003c9b18c0ea5d149,1532132304,c3.large,60.35014224052429,10,10,1,TPC-B (sort of),simple,60 s,62118
i-003c9b18c0ea5d149,1532132304,c3.large,60.27137303352356,10,10,1,TPC-B (sort of),simple,60 s,62434
i-003c9b18c0ea5d149,1532132304,c3.large,60.34325623512268,10,10,1,TPC-B (sort of),simple,60 s,60799
i-003c9b18c0ea5d149,1532132304,c3.large,60.28579783439636,10,10,1,TPC-B (sort of),simple,60 s,61692
i-003c9b18c0ea5d149,1532132304,c3.large,60.205915212631226,10,10,1,TPC-B (sort of),simple,60 s,62203
i-003c9b18c0ea5d149,1532132304,c3.large,60.298832654953,10,10,1,TPC-B (sort of),simple,60 s,60947
i-003c9b18c0ea5d149,1532132304,c3.large,60.2318058013916,10,10,1,TPC-B (sort of),simple,60 s,60560
i-003c9b18c0ea5d149,1532132304,c3.large,60.23047971725464,10,10,1,TPC-B (sort of),simple,60 s,60958
i-003c9b18c0ea5d149,1532132304,c3.large,60.28444194793701,10,10,1,TPC-B (sort of),simple,60 s,60985
i-003c9b18c0ea5d149,1532132304,c3.large,60.29766511917114,10,10,1,TPC-B (sort of),simple,60 s,59898
i-003c9b18c0ea5d149,1532132304,c3.large,60.27411127090454,10,10,1,TPC-B (sort of),simple,60 s,61908
i-003c9b18c0ea5d149,1532132304,c3.large,60.34973478317261,10,10,1,TPC-B (sort of),simple,60 s,62126
i-003c9b18c0ea5d149,1532132304,c3.large,60.320061445236206,10,10,1,TPC-B (sort of),simple,60 s,62235
i-003c9b18c0ea5d149,1532132304,c3.large,60.312373876571655,10,10,1,TPC-B (sort of),simple,60 s,61812
i-003c9b18c0ea5d149,1532132304,c3.large,60.359434366226196,10,10,1,TPC-B (sort of),simple,60 s,61206
i-003c9b18c0ea5d149,1532132304,c3.large,60.32526230812073,10,10,1,TPC-B (sort of),simple,60 s,61127
i-003c9b18c0ea5d149,1532132304,c3.large,60.337284326553345,10,10,1,TPC-B (sort of),simple,60 s,60989
i-003c9b18c0ea5d149,1532132304,c3.large,60.35448122024536,10,10,1,TPC-B (sort of),simple,60 s,59100
