i-0ffd4acd3e31e66e9,1551678497,c4.large,60.27290463447571,10,10,1,TPC-B (sort of),simple,60 s,68372,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0ffd4acd3e31e66e9,1551678497,c4.large,60.276869773864746,10,10,1,TPC-B (sort of),simple,60 s,67824,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0ffd4acd3e31e66e9,1551678497,c4.large,60.242583990097046,10,10,1,TPC-B (sort of),simple,60 s,67072,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.24683141708374,10,10,1,TPC-B (sort of),simple,60 s,71118,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.21107816696167,10,10,1,TPC-B (sort of),simple,60 s,69369,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.23698353767395,10,10,1,TPC-B (sort of),simple,60 s,69680,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.20578408241272,10,10,1,TPC-B (sort of),simple,60 s,68791,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.22835302352905,10,10,1,TPC-B (sort of),simple,60 s,68931,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.23016929626465,10,10,1,TPC-B (sort of),simple,60 s,68329,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.22838306427002,10,10,1,TPC-B (sort of),simple,60 s,68720,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.20646929740906,10,10,1,TPC-B (sort of),simple,60 s,68487,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.192596197128296,10,10,1,TPC-B (sort of),simple,60 s,68054,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.217042207717896,10,10,1,TPC-B (sort of),simple,60 s,68795,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.22161030769348,10,10,1,TPC-B (sort of),simple,60 s,68346,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.19848108291626,10,10,1,TPC-B (sort of),simple,60 s,68038,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.286290407180786,10,10,1,TPC-B (sort of),simple,60 s,67030,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.23751401901245,10,10,1,TPC-B (sort of),simple,60 s,67242,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.356056213378906,10,10,1,TPC-B (sort of),simple,60 s,66507,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.28283953666687,10,10,1,TPC-B (sort of),simple,60 s,67299,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.30200695991516,10,10,1,TPC-B (sort of),simple,60 s,66830,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.24024510383606,10,10,1,TPC-B (sort of),simple,60 s,67115,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.217758893966675,10,10,1,TPC-B (sort of),simple,60 s,67373,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.262800216674805,10,10,1,TPC-B (sort of),simple,60 s,66659,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.33037996292114,10,10,1,TPC-B (sort of),simple,60 s,66773,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.32816743850708,10,10,1,TPC-B (sort of),simple,60 s,68051,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.25758409500122,10,10,1,TPC-B (sort of),simple,60 s,69013,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.229217767715454,10,10,1,TPC-B (sort of),simple,60 s,68811,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.27476096153259,10,10,1,TPC-B (sort of),simple,60 s,68202,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.29284954071045,10,10,1,TPC-B (sort of),simple,60 s,67669,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.264434814453125,10,10,1,TPC-B (sort of),simple,60 s,65987,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.26824593544006,10,10,1,TPC-B (sort of),simple,60 s,66640,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.28346085548401,10,10,1,TPC-B (sort of),simple,60 s,66907,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.23680901527405,10,10,1,TPC-B (sort of),simple,60 s,67218,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.23239254951477,10,10,1,TPC-B (sort of),simple,60 s,67031,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.260576486587524,10,10,1,TPC-B (sort of),simple,60 s,67016,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.26545166969299,10,10,1,TPC-B (sort of),simple,60 s,67593,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.26100444793701,10,10,1,TPC-B (sort of),simple,60 s,67252,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0b5312fa15ac97040,1551678497,c4.large,60.267374992370605,10,10,1,TPC-B (sort of),simple,60 s,67406,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-09059493a275b259b,1551678497,c4.large,60.32760763168335,10,10,1,TPC-B (sort of),simple,60 s,68637,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-09059493a275b259b,1551678497,c4.large,60.26693344116211,10,10,1,TPC-B (sort of),simple,60 s,68527,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-09059493a275b259b,1551678497,c4.large,60.24446773529053,10,10,1,TPC-B (sort of),simple,60 s,68525,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-09059493a275b259b,1551678497,c4.large,60.22399830818176,10,10,1,TPC-B (sort of),simple,60 s,67222,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-09059493a275b259b,1551678497,c4.large,60.25480079650879,10,10,1,TPC-B (sort of),simple,60 s,66511,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
