"","x"
"1",0.556815933317353
"2",0.298277740917115
"3",0.288587044652957
"4",0.8716500569411
"5",1.66494815649587
"6",0.0767064216208553
"7",0.518870456343997
"8",1.0444512578913
"9",1.7946553440154
"10",0.370274606274307
"11",0.606092817813746
"12",1.78232315736762
"13",0.523906255015341
"14",5.61969367000729
"15",0.481663695573104
"16",0.424103553954453
"17",1.85153922366839
"18",1.20566388025863
"19",6.44666762921653
"20",0.222095729787334
"21",0.902846760662889
"22",0.442612687250922
"23",1.43859080280923
"24",0.108486199248517
"25",0.931804862753303
"26",1.72531169318088
"27",0.238937073217485
"28",0.261715294067564
"29",1.04852948222361
"30",1.28696276836267
"31",4.00908004059335
"32",0.491008287171688
"33",0.788711121413705
"34",2.1920167173556
"35",0.996651552646995
"36",0.949838124089815
"37",3.42786772720676
"38",1.98082620002774
"39",2.31600876239501
"40",0.123247503149088
"41",2.11369637290165
"42",2.85233581340317
"43",3.55649820196116
"44",0.493839119038768
"45",0.54043366473045
"46",1.91055290806437
"47",2.11383295103013
"48",1.56575130831085
"49",1.8215035331709
"50",3.75535293107201
"51",0.279186020647682
"52",2.48837114762228
"53",2.50021633095442
"54",3.32645046463758
"55",5.77801565593557
"56",1.28818468883542
"57",5.60387123591147
"58",0.830616496030984
"59",1.98627200108034
"60",4.4936025586961
"61",7.42751574286788
"62",7.13068328864219
"63",1.18984347165168
"64",1.51432583249653
"65",9.25946124468994
"66",4.91582115944309
"67",8.81078842972281
"68",7.68923932752504
"69",4.67463566854837
"70",3.04688843054318
"71",0.689572919077467
"72",0.620715225451324
"73",4.35158419777375
"74",0.18168252202015
"75",5.89122496734667
"76",0.842647001844469
"77",3.23938772031195
"78",7.54632996850598
"79",0.8696966822029
"80",1.65560137517378
"81",0.43537346922577
"82",4.82560602444694
"83",1.81170946879508
"84",2.61755537025272
"85",5.40483801244157
"86",3.20096807578103
"87",2.07839157976599
"88",2.45893381443721
"89",2.33010512823485
"90",1.9359175404721
"91",0.88648671859929
"92",1.9195322160722
"93",2.18886993673517
"94",1.37318206858252
"95",1.18404971577302
"96",3.08040985377049
"97",0.800422126791549
"98",0.372503317826588
"99",2.75354003191839
"100",0.227601966529996
"101",1.53571281852052
"102",0.97977460649289
"103",1.51846651442919
"104",0.872621302704871
"105",0.352172977378347
"106",2.2096648274643
"107",1.85800489191873
"108",1.20685247501688
"109",0.296211387439193
"110",1.50463760629195
"111",0.297366834625443
"112",2.80962886911317
"113",0.565007804135135
"114",1.0206313514118
"115",1.8667481413299
"116",1.63260428364459
"117",2.66057731200455
"118",2.60836048920103
"119",2.14133182772063
"120",1.69649684273569
"121",0.629189089322402
"122",1.77018715368058
"123",2.84393722252487
"124",2.29204147625053
"125",0.703972710406137
"126",0.297958668293636
"127",0.776623165918702
"128",3.72099234164634
"129",3.8701245125321
"130",0.173004977402612
"131",0.0269523005588272
"132",2.81352692177256
"133",4.07623403702938
"134",4.16347105571992
"135",0.215814917861499
"136",3.06499625514972
"137",0.898569561881935
"138",3.88676361234094
"139",1.65062411242798
"140",0.272788489632631
"141",0.290627524046143
