"","x"
"1",0.34059480897136
"2",0.0620921578442761
"3",0.486660106582747
"4",1.09764886567526
"5",1.99153579005266
"6",0.268137612544798
"7",0.317123816523143
"8",1.33097672223744
"9",1.97531512115095
"10",0.493758238558613
"11",0.751288502437774
"12",1.94948160507033
"13",0.711946181812621
"14",6.06616126214986
"15",0.560325175627042
"16",0.583348293548255
"17",2.11772272332514
"18",1.37270978390659
"19",6.77144151512376
"20",0.382673496223148
"21",0.978209046275246
"22",0.451942935572482
"23",1.53791546389613
"24",0.220933522646007
"25",0.92285871839961
"26",1.79351698766168
"27",0.234321478367328
"28",0.263881322240138
"29",1.11208980118543
"30",1.23313250592965
"31",4.13289411400601
"32",0.46811328216377
"33",0.795430496494404
"34",2.29334743443712
"35",1.11395150104126
"36",0.94453759324589
"37",3.43078858538203
"38",2.05820093333318
"39",2.38789303246645
"40",0.23309924793201
"41",2.11597016195871
"42",2.85691131301701
"43",3.559801744581
"44",0.474824117588092
"45",0.495815395032984
"46",2.00994940073322
"47",2.0823463208925
"48",1.65522804400853
"49",2.03917882860188
"50",3.87880138948216
"51",0.447072706258083
"52",2.6791248616976
"53",2.65775232397198
"54",3.52231537899921
"55",6.12915038258855
"56",1.48961046438693
"57",5.89066039948784
"58",1.05895100117434
"59",2.21386725355459
"60",4.86528791925883
"61",7.69810452159123
"62",7.5858514385291
"63",1.39621940057022
"64",1.79064721606112
"65",9.5001402692657
"66",5.24817925733768
"67",9.12971787603608
"68",8.09844122866473
"69",5.00291222489542
"70",3.2768672710346
"71",0.611610615986091
"72",0.459741462891959
"73",4.79936778578863
"74",0.150002973321286
"75",6.42469776897329
"76",0.666870437683418
"77",3.5904793055494
"78",7.7613607884698
"79",1.20541532560273
"80",1.43866622459499
"81",0.0884329310234833
"82",5.33942018542185
"83",1.97269492681298
"84",3.07905835783422
"85",5.99314726004448
"86",3.58141409914726
"87",2.35978919252208
"88",2.66025258587818
"89",2.63808347534522
"90",2.32576787344625
"91",0.921324824705408
"92",2.15792924125729
"93",2.54682602386022
"94",1.89339597473796
"95",1.69389078069254
"96",3.53011103126492
"97",1.17006091030753
"98",0.192911432711515
"99",3.22236715556966
"100",0.243197439464536
"101",1.98238173645943
"102",1.03730942510238
"103",2.08250667028878
"104",0.790338713558848
"105",0.22244122345063
"106",2.79482974813108
"107",1.31264575695685
"108",1.44039905397814
"109",0.0539991085463196
"110",1.04505852133638
"111",0.964364660010622
"112",2.27792670794054
"113",0.0382504953910363
"114",1.30801190926174
"115",2.21815567546071
"116",0.948538907258786
"117",2.15218501569242
"118",2.18981737455717
"119",2.66518900391684
"120",2.25380496278239
"121",1.07499950867521
"122",1.07425495426733
"123",2.18166226960654
"124",2.88456122605098
"125",1.40651819379519
"126",1.00815539452605
"127",0.0127099051934314
"128",4.29535402907153
"129",3.2321420323312
"130",0.0571120950558335
"131",0.846124886496963
"132",3.63686345116451
"133",5.10550521456907
"134",5.14139582269991
"135",0.718915192543118
"136",4.01971549862133
"137",1.83492870844885
"138",4.90848895965552
"139",0.851823957975935
"140",0.56198334290823
"141",1.09691661613106
