"","instanceID","sysbench","ycruncher","pgbench","iperf","setId","tenants"
"1","i-067b2519b614c8f9d",1.57930714856454,1.57295597974265,-1.67227851772627,-1.03394237738442,48,48
"2","i-0507566c757134fb6",1.57914788805819,1.64026142152586,-1.66690501247995,-0.923355918032338,48,48
"3","i-08e70b514c8c3cd5a",1.58110462624379,1.69049007426196,-1.70632337605384,-1.26609755885348,48,48
"4","i-007e12c9530b8cdea",1.59458811521953,1.50236966048352,-1.76862185913951,-1.11581344774724,47,47
"5","i-07c76ac1348426483",1.58428292847412,1.68234464025015,-1.77560931472488,-0.605125866136736,47,47
"6","i-0f285214d5c41327e",1.59333382430869,1.6203935971704,-1.58977717392641,-1.07796621267213,47,47
"7","i-0d136c81f43ce8a29",1.59388462207366,1.4351290872066,-1.49916810312937,-0.814824275716599,46,46
"8","i-071a48cf857bce94f",1.57937531393992,1.48720721126034,-1.68255083694276,-0.631393849521932,46,46
"9","i-08559b79281547ef2",1.58097152927373,1.69052448832925,-1.64051217752436,-1.26889989347877,46,46
"10","i-0243a74ede206f760",1.59111369779895,1.46430269351517,-1.45754717203399,-1.25772344131649,45,45
"11","i-095d06d26dd29ecec",1.58638722486238,1.53381695348415,-1.44911665496905,-1.1107831340692,45,45
"12","i-0d1c421d52c368b29",1.62593826341722,1.5402327546502,-1.59078351943187,-1.23380412987427,45,45
"13","i-05e473f8ff82c1527",1.58704724053724,1.26205246312824,-1.48177541477019,-0.81335153891294,44,44
"14","i-0763ab86e85627573",1.57977493844349,1.56558593624901,-1.98648616725458,-0.298503862804983,44,44
"15","i-0bfaa8f4e041c36fa",1.11133546802249,1.51083126547904,-1.41355278455775,-1.32192342314421,44,44
"16","i-0b138e3642a677559",1.10505316529941,1.31240457669293,-1.41079957515593,-0.734821490917078,43,43
"17","i-02ca0e36a4acaf9fc",1.09853525567639,1.39506324026549,-1.55905515453207,-0.431757568198953,43,43
"18","i-071a48cf857bce94f",1.57507305844092,1.37879890963111,-1.36915965640952,-0.798371035544342,43,43
"19","i-0763ab86e85627573",1.57963356468678,1.46422198667238,-1.88199712354211,-0.691963746907188,42,42
"20","i-0b3a38b18367faa71",1.0956994953759,1.02621705547255,-1.43371766996983,-0.678714669913693,42,42
"21","i-08559b79281547ef2",1.09841937826922,1.35192948703216,-1.31012704930388,-1.08575723633672,42,42
"22","i-0bfaa8f4e041c36fa",1.10234527001991,1.38765444410952,-1.09091461796451,-1.16392843736878,41,41
"23","i-08e70b514c8c3cd5a",1.58562008501494,1.03176231083921,-1.34341240158958,-1.05820223863216,41,41
"24","i-0f472084ac3992ad9",1.58812438618724,1.32638944974026,-0.992748462050739,-0.572144016413948,41,41
"25","i-07be1c77f6fdf8eda",1.10424387916216,1.06414906204752,-0.983121722969832,-0.880584420851832,40,40
"26","i-01f539b055c2a5d34",1.10071908654937,1.06104737329926,-1.33543758814978,-1.07633140628796,40,40
"27","i-0bfaa8f4e041c36fa",1.10786319102637,1.14744495422674,-1.01990080304813,-0.991493407798186,40,40
"28","i-0d6feb91baa545931",1.10508241996132,1.11071508069602,-0.978431773161146,-0.928011206725357,39,39
"29","i-08559b79281547ef2",1.10302673921989,0.973207729562606,-0.88605685081678,-1.15095736006794,39,39
"30","i-0507566c757134fb6",1.10246756909938,0.923765672216446,-0.900905193935616,-0.507561226569611,39,39
"31","i-0837f0f6a7a42ac68",1.09533882947003,1.11483663891837,-1.34732385770526,-0.777681296219645,38,38
"32","i-0dcfa6d3bc470d28d",1.10136131164206,1.1049389100261,-0.759845934306328,-0.524844643558193,38,38
"33","i-06b96f53253b4cc2e",1.10535294323308,0.944551260921018,-0.815156961806688,-0.69602516070109,38,38
"34","i-0ede59d8254436a40",1.10224875279961,0.9857663772539,-1.05943309252831,-0.493286511272083,37,37
"35","i-0b138e3642a677559",1.10652755720361,1.02549920412015,-0.882335271211499,-0.252303239365726,37,37
"36","i-0d44050a4e6a71d7c",1.10077379067421,1.01622653043331,-0.867467940441578,-0.777791732719771,37,37
"37","i-01f539b055c2a5d34",1.10011277601491,1.0582899096743,-1.03313519582804,-0.991493407798186,36,36
"38","i-0977cb2af690d36fd",1.10024677719858,0.953858306449944,-0.920443486863138,-0.433578345721148,36,36
"39","i-0e167bbfcd6a685f5",1.09996017560436,0.900371016903985,-0.995729523265123,-0.530590729384401,36,36
