experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1540584033,i-02d0cd06760855c39,c4.large,8.514825821, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.97ms,8.4563s,2
1540584033,i-02d0cd06760855c39,c4.large,8.470307589, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.85ms,8.4463s,2
1540584033,i-02d0cd06760855c39,c4.large,8.469775677, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.78ms,8.4468s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479794979, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.90ms,8.4558s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482249498, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.83ms,8.4577s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477057219, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.64ms,8.4517s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480481625, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.06ms,8.4572s,2
1540584033,i-02d0cd06760855c39,c4.large,8.488814831, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.83ms,8.4632s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479057074, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.28ms,8.4551s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475279808, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.46ms,8.4504s,2
1540584033,i-02d0cd06760855c39,c4.large,8.496506691, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.92ms,8.4609s,2
1540584033,i-02d0cd06760855c39,c4.large,8.474148989, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.82ms,8.4475s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47529459, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.52ms,8.4507s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476999521, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.91ms,8.4517s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475033998, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.66ms,8.4496s,2
1540584033,i-02d0cd06760855c39,c4.large,8.474797487, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.43ms,8.4500s,2
1540584033,i-02d0cd06760855c39,c4.large,8.485280514, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.51ms,8.4603s,2
1540584033,i-02d0cd06760855c39,c4.large,8.489832401, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.68ms,8.4641s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475147486, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.55ms,8.4502s,2
1540584033,i-02d0cd06760855c39,c4.large,8.472036362, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.70ms,8.4466s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482874632, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.07ms,8.4560s,2
1540584033,i-02d0cd06760855c39,c4.large,8.481929541, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.72ms,8.4519s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477260351, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.76ms,8.4518s,2
1540584033,i-02d0cd06760855c39,c4.large,8.483062983, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.24ms,8.4588s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47557807, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.71ms,8.4509s,2
1540584033,i-02d0cd06760855c39,c4.large,8.474840879, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.56ms,8.4500s,2
1540584033,i-02d0cd06760855c39,c4.large,8.491286755, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.85ms,8.4585s,2
1540584033,i-02d0cd06760855c39,c4.large,8.494390011, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1692.16ms,8.4696s,2
1540584033,i-02d0cd06760855c39,c4.large,8.473584414, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.76ms,8.4482s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47572875, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.49ms,8.4510s,2
1540584033,i-02d0cd06760855c39,c4.large,8.4836905, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.40ms,8.4586s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476558924, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.63ms,8.4515s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479715824, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.86ms,8.4546s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477344036, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.81ms,8.4517s,2
1540584033,i-02d0cd06760855c39,c4.large,8.469551086, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.62ms,8.4454s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47715044, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.69ms,8.4512s,2
1540584033,i-02d0cd06760855c39,c4.large,8.478339672, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.04ms,8.4541s,2
1540584033,i-02d0cd06760855c39,c4.large,8.494162083, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.52ms,8.4694s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475624561, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.49ms,8.4508s,2
1540584033,i-02d0cd06760855c39,c4.large,8.4879601, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.62ms,8.4564s,2
1540584033,i-02d0cd06760855c39,c4.large,8.486765623, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.98ms,8.4618s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47751236, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.56ms,8.4521s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477101326, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.71ms,8.4519s,2
1540584033,i-02d0cd06760855c39,c4.large,8.481142044, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.86ms,8.4563s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475812435, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.91ms,8.4508s,2
1540584033,i-02d0cd06760855c39,c4.large,8.478437185, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.70ms,8.4515s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477926493, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.72ms,8.4530s,2
1540584033,i-02d0cd06760855c39,c4.large,8.49808979, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.49ms,8.4735s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477299929, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.09ms,8.4526s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47913003, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.33ms,8.4540s,2
1540584033,i-02d0cd06760855c39,c4.large,8.484772205, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.03ms,8.4597s,2
1540584033,i-02d0cd06760855c39,c4.large,8.483494282, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.42ms,8.4567s,2
1540584033,i-02d0cd06760855c39,c4.large,8.483732939, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.47ms,8.4566s,2
1540584033,i-02d0cd06760855c39,c4.large,8.478965521, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.42ms,8.4529s,2
1540584033,i-02d0cd06760855c39,c4.large,8.48197937, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.01ms,8.4561s,2
1540584033,i-02d0cd06760855c39,c4.large,8.478299141, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.85ms,8.4529s,2
1540584033,i-02d0cd06760855c39,c4.large,8.481062174, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.49ms,8.4549s,2
1540584033,i-02d0cd06760855c39,c4.large,8.491260052, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.44ms,8.4659s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477271557, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.60ms,8.4514s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482040644, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.44ms,8.4574s,2
1540584033,i-02d0cd06760855c39,c4.large,8.489169121, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.24ms,8.4652s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47241044, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.89ms,8.4476s,2
1540584033,i-02d0cd06760855c39,c4.large,8.470884323, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.80ms,8.4465s,2
1540584033,i-02d0cd06760855c39,c4.large,8.486489534, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.86ms,8.4610s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47851181, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.18ms,8.4534s,2
1540584033,i-02d0cd06760855c39,c4.large,8.473436356, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.84ms,8.4488s,2
1540584033,i-02d0cd06760855c39,c4.large,8.481294155, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.46ms,8.4531s,2
1540584033,i-02d0cd06760855c39,c4.large,8.497196674, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1692.07ms,8.4718s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477724552, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.88ms,8.4526s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479465246, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.68ms,8.4521s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480774641, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.31ms,8.4537s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477302313, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.78ms,8.4518s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480596066, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.42ms,8.4560s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482100964, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.51ms,8.4545s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479637384, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.97ms,8.4558s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477342844, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.69ms,8.4521s,2
1540584033,i-02d0cd06760855c39,c4.large,8.481297731, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.72ms,8.4572s,2
1540584033,i-02d0cd06760855c39,c4.large,8.493208885, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.87ms,8.4676s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47374177, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.14ms,8.4489s,2
