experimentID,instanceID,instanceType,wallTime,testOption,ram_write_speed,total-time,thread-num
1552172470,i-0fad930bd28f4ff02,c4.large,35.457796812057495, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3119.31,33.6613s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.053636789321899414, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.04960322380065918, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05290985107421875, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,42.792813301086426, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2712.39,38.7113s,2
1552172470,i-0fad930bd28f4ff02,c4.large,1.8979847431182861, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05299115180969238, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,45.42049169540405, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2550.34,41.1710s,2
1552172470,i-0fad930bd28f4ff02,c4.large,2.3988656997680664, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,35.25673985481262, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3363.48,31.2176s,2
1552172470,i-0fad930bd28f4ff02,c4.large,34.39262127876282, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3251.63,32.2915s,2
1552172470,i-0fad930bd28f4ff02,c4.large,36.10601210594177, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3126.27,33.5863s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.05055809020996094, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05368161201477051, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.049314022064208984, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,36.69156503677368, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3137.59,33.4652s,2
1552172470,i-0fad930bd28f4ff02,c4.large,2.66890025138855, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,35.33635067939758, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3357.97,31.2689s,2
1552172470,i-0fad930bd28f4ff02,c4.large,38.043487310409546, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2908.09,36.1061s,2
1552172470,i-0fad930bd28f4ff02,c4.large,33.012105226516724, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3431.36,30.6001s,2
1552172470,i-0fad930bd28f4ff02,c4.large,43.65193152427673, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2557.41,41.0572s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.07109785079956055, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.0523989200592041, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05093526840209961, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,59.54264760017395, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,1918.71,54.7244s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.0523686408996582, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05170249938964844, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,50.90254092216492, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2246.91,46.7308s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04706072807312012, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,42.22656488418579, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2700.41,38.8830s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04789113998413086, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05186605453491211, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.04329991340637207, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,39.93883991241455, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2960.35,35.4688s,2
1552172470,i-0fad930bd28f4ff02,c4.large,1.8336904048919678, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.0884854793548584, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,3.4895007610321045, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.06264829635620117, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.058324337005615234, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,35.85068678855896, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3184.37,32.9735s,2
1552172470,i-0fad930bd28f4ff02,c4.large,41.01445937156677, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2683.72,39.1247s,2
