instanceID,x,x,wallTime,x,x,x,x,x,x,transactions,x
i-0ffd4acd3e31e66e9,1551678497,c4.large,60.27290463,10,10,1,TPC-B (sort of),simple,60 s,68372,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0ffd4acd3e31e66e9,1551678497,c4.large,60.27686977,10,10,1,TPC-B (sort of),simple,60 s,67824,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0ffd4acd3e31e66e9,1551678497,c4.large,60.24258399,10,10,1,TPC-B (sort of),simple,60 s,67072,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.24683142,10,10,1,TPC-B (sort of),simple,60 s,71118,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.21107817,10,10,1,TPC-B (sort of),simple,60 s,69369,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.23698354,10,10,1,TPC-B (sort of),simple,60 s,69680,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.20578408,10,10,1,TPC-B (sort of),simple,60 s,68791,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.22835302,10,10,1,TPC-B (sort of),simple,60 s,68931,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.2301693,10,10,1,TPC-B (sort of),simple,60 s,68329,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.22838306,10,10,1,TPC-B (sort of),simple,60 s,68720,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.2064693,10,10,1,TPC-B (sort of),simple,60 s,68487,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.1925962,10,10,1,TPC-B (sort of),simple,60 s,68054,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.21704221,10,10,1,TPC-B (sort of),simple,60 s,68795,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.22161031,10,10,1,TPC-B (sort of),simple,60 s,68346,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-0de0b0cd5c882a8b8,1551678497,c4.large,60.19848108,10,10,1,TPC-B (sort of),simple,60 s,68038,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.28629041,10,10,1,TPC-B (sort of),simple,60 s,67030,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.23751402,10,10,1,TPC-B (sort of),simple,60 s,67242,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.35605621,10,10,1,TPC-B (sort of),simple,60 s,66507,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.28283954,10,10,1,TPC-B (sort of),simple,60 s,67299,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.30200696,10,10,1,TPC-B (sort of),simple,60 s,66830,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.2402451,10,10,1,TPC-B (sort of),simple,60 s,67115,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.21775889,10,10,1,TPC-B (sort of),simple,60 s,67373,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
i-07d2b4f4ccaaa4c86,1551678497,c4.large,60.26280022,10,10,1,TPC-B (sort of),simple,60 s,66659,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory"
