experimentID,instanceID,instanceType,wallTime,testOption,Copy best rate,Copy avg time,Copy min time,Copy max time,total-time,thread-num,Output-Stream
1648747869-0,i-06a31816b3a3ce166,m5d.large,9.09430480003357, ./stream_parser.sh,10248.2400000,.0157973,.0156125,.0161690,,,"['Average_Best_Rate:10248.2400000', 'Average_Avg_time:.0157973', 'Average_Min_time:.0156125', 'Average_Max_time:.0161690', '']"
1648747869-1,i-06a31816b3a3ce166,m5d.large,9.089141130447388, ./stream_parser.sh,10249.8100000,.0160275,.0156101,.0175565,,,"['Average_Best_Rate:10249.8100000', 'Average_Avg_time:.0160275', 'Average_Min_time:.0156101', 'Average_Max_time:.0175565', '']"
1648747869-0,i-09565efb383878d3f,m5d.large,9.138212442398071, ./stream_parser.sh,10141.7600000,.0159992,.0157873,.0168248,,,"['Average_Best_Rate:10141.7600000', 'Average_Avg_time:.0159992', 'Average_Min_time:.0157873', 'Average_Max_time:.0168248', '']"
1648747869-0,i-003e5415310e1153d,m5d.large,9.037035465240479, ./stream_parser.sh,10353.3600000,.0158643,.0154540,.0166442,,,"['Average_Best_Rate:10353.3600000', 'Average_Avg_time:.0158643', 'Average_Min_time:.0154540', 'Average_Max_time:.0166442', '']"
1648747869-1,i-003e5415310e1153d,m5d.large,9.026934146881104, ./stream_parser.sh,10330.9400000,.0157619,.0154877,.0163250,,,"['Average_Best_Rate:10330.9400000', 'Average_Avg_time:.0157619', 'Average_Min_time:.0154877', 'Average_Max_time:.0163250', '']"
1648747869-2,i-003e5415310e1153d,m5d.large,9.00590991973877, ./stream_parser.sh,10372.4000000,.0157841,.0154256,.0168228,,,"['Average_Best_Rate:10372.4000000', 'Average_Avg_time:.0157841', 'Average_Min_time:.0154256', 'Average_Max_time:.0168228', '']"
