experimentID,instanceID,instanceType,wallTime,testOption,Copy best rate,Copy avg time,Copy min time,Copy max time,total-time,thread-num,Output-Stream
1646144461-0,i-09565efb383878d3f,m5d.large,1.0160584449768066, -o -DSTREAM_ARRAY_SIZE=100000000 -fopenmp -mcmodel=medium stream.c -o stream | export OMP_NUM_THREADS=2 | for i in {1..10}; do time ./stream; done,10313.3,26,,,,,"['-------------------------------------------------------------', 'STREAM version $Revision: 5.10 $', '-------------------------------------------------------------', 'This system uses 8 bytes per array element.', '-------------------------------------------------------------', 'Array size = 10000000 (elements), Offset = 0 (elements)', 'Memory per array = 76.3 MiB (= 0.1 GiB).', 'Total memory required = 228.9 MiB (= 0.2 GiB).', 'Each kernel will be executed 10 times.', ' The *best* time for each kernel (excluding the first iteration)', ' will be used to compute the reported bandwidth.', '-------------------------------------------------------------', 'Number of Threads requested = 2', 'Number of Threads counted = 2', '-------------------------------------------------------------', 'Your clock granularity/precision appears to be 1 microseconds.', 'Each test below will take on the order of 17117 microseconds.', '   (= 17117 clock ticks)', 'Increase the size of the arrays if this shows that', 'you are not getting at least 20 clock ticks per test.', '-------------------------------------------------------------', 'WARNING -- The above is only a rough guideline.', 'For best results, please be sure you know the', 'precision of your system timer.', '-------------------------------------------------------------', 'Function    Best Rate MB/s  Avg time     Min time     Max time', 'Copy:           10313.3     0.018537     0.015514     0.024977', 'Scale:           9479.7     0.018956     0.016878     0.023797', 'Add:            13123.4     0.019152     0.018288     0.022564', 'Triad:          12515.0     0.021269     0.019177     0.026298', '-------------------------------------------------------------', 'Solution Validates: avg error less than 1.000000e-13 on all three arrays', '-------------------------------------------------------------', '']"
1646147124-0,i-09565efb383878d3f,m5d.large,1.0087225437164307, -o -DSTREAM_ARRAY_SIZE=100000000 -fopenmp -mcmodel=medium stream.c -o stream | export OMP_NUM_THREADS=2 | for i in {1..10}; do time ./stream; done,10265.7,26,,,,,"['-------------------------------------------------------------', 'STREAM version $Revision: 5.10 $', '-------------------------------------------------------------', 'This system uses 8 bytes per array element.', '-------------------------------------------------------------', 'Array size = 10000000 (elements), Offset = 0 (elements)', 'Memory per array = 76.3 MiB (= 0.1 GiB).', 'Total memory required = 228.9 MiB (= 0.2 GiB).', 'Each kernel will be executed 10 times.', ' The *best* time for each kernel (excluding the first iteration)', ' will be used to compute the reported bandwidth.', '-------------------------------------------------------------', 'Number of Threads requested = 2', 'Number of Threads counted = 2', '-------------------------------------------------------------', 'Your clock granularity/precision appears to be 1 microseconds.', 'Each test below will take on the order of 16453 microseconds.', '   (= 16453 clock ticks)', 'Increase the size of the arrays if this shows that', 'you are not getting at least 20 clock ticks per test.', '-------------------------------------------------------------', 'WARNING -- The above is only a rough guideline.', 'For best results, please be sure you know the', 'precision of your system timer.', '-------------------------------------------------------------', 'Function    Best Rate MB/s  Avg time     Min time     Max time', 'Copy:           10265.7     0.017877     0.015586     0.024704', 'Scale:           9473.2     0.019474     0.016890     0.024903', 'Add:            13058.4     0.019940     0.018379     0.026800', 'Triad:          12502.0     0.020469     0.019197     0.025465', '-------------------------------------------------------------', 'Solution Validates: avg error less than 1.000000e-13 on all three arrays', '-------------------------------------------------------------', '']"
