experimentID,instanceID,instanceType,wallTime,testOption,1 KiB Throughput,1 MiB Throughput,1 GiB Throughput,4 GiB Throughput,total-time,thread-num
1633491937-35,i-0cd47f5da9eb3ec75,m5d.large,53.35589098930359, -w -m32 -e1 -x0 -d2,20316.381011,20359.574963,3890.649983,5164.177883,"['256 22162.307663', '512 22838.308590', '1024 20316.381011', '2048 21834.253566', '4096 22686.540766', '8192 23139.137803', '16384 23370.653787', '32768 22584.969485', '65536 20944.353911', '131072 20975.449132', '262144 20909.276413', '524288 20967.422864', '1048576 20359.574963', '2097152 18272.519931', '4194304 12143.407590', '8388608 8019.679224', '16777216 4431.217049', '33554432 4163.764035', '67108864 4036.671799', '134217728 3983.761322', '268435456 3958.693564', '536870912 3942.524011', '1073741824 3890.649983', '2147483648 3859.329328', '4294967296 5164.177883', '']",
1633491937-36,i-0cd47f5da9eb3ec75,m5d.large,53.47761917114258, -w -m32 -e1 -x0 -d2,20316.862091,19882.094151,3630.680998,3736.005733,"['256 22169.143224', '512 22843.064128', '1024 20316.862091', '2048 21838.882943', '4096 22689.352827', '8192 23139.320687', '16384 23367.691814', '32768 22535.788945', '65536 20972.719782', '131072 20976.374579', '262144 20909.773465', '524288 20980.851036', '1048576 19882.094151', '2097152 17986.218343', '4194304 8819.948989', '8388608 4818.641100', '16777216 4123.403523', '33554432 3873.357400', '67108864 3764.245449', '134217728 3709.896902', '268435456 3689.107241', '536870912 3682.145282', '1073741824 3630.680998', '2147483648 3588.534148', '4294967296 3736.005733', '']",
1633491937-37,i-0cd47f5da9eb3ec75,m5d.large,53.6643967628479, -w -m32 -e1 -x0 -d2,20318.140546,20287.265689,3380.862006,3492.962345,"['256 22168.035233', '512 22839.394887', '1024 20318.140546', '2048 21836.871379', '4096 22688.862720', '8192 23138.035587', '16384 23370.957847', '32768 22584.546098', '65536 20972.074360', '131072 20951.576471', '262144 20906.985477', '524288 20979.278363', '1048576 20287.265689', '2097152 17624.041063', '4194304 7659.295413', '8388608 4438.193454', '16777216 3848.261619', '33554432 3611.363190', '67108864 3503.858979', '134217728 3459.364850', '268435456 3438.169179', '536870912 3428.923517', '1073741824 3380.862006', '2147483648 3351.908507', '4294967296 3492.962345', '']",
1633491937-38,i-0cd47f5da9eb3ec75,m5d.large,54.22680139541626, -w -m32 -e1 -x0 -d2,20316.429446,20065.507285,3152.731129,3315.707476,"['256 22162.215778', '512 22839.750813', '1024 20316.429446', '2048 21836.060234', '4096 22688.102510', '8192 23140.020204', '16384 23368.767157', '32768 22586.410833', '65536 20972.346683', '131072 20974.989607', '262144 20900.842572', '524288 20976.323608', '1048576 20065.507285', '2097152 17383.929839', '4194304 6595.790888', '8388608 4130.976619', '16777216 3580.901727', '33554432 3366.434448', '67108864 3267.780877', '134217728 3224.235677', '268435456 3209.529206', '536870912 3203.294318', '1073741824 3152.731129', '2147483648 3112.839723', '4294967296 3315.707476', '']",
1633491937-39,i-0cd47f5da9eb3ec75,m5d.large,53.636101722717285, -w -m32 -e1 -x0 -d2,20315.238156,20089.813519,2955.517334,3083.550762,"['256 22170.163930', '512 22837.222732', '1024 20315.238156', '2048 21836.257778', '4096 22682.427319', '8192 23138.729700', '16384 23368.679673', '32768 22586.283716', '65536 20971.667616', '131072 20951.215330', '262144 20907.761317', '524288 20978.421673', '1048576 20089.813519', '2097152 17160.075551', '4194304 6456.064800', '8388608 3853.376136', '16777216 3350.164577', '33554432 3148.436759', '67108864 3056.987521', '134217728 3023.275091', '268435456 3006.426797', '536870912 2996.652130', '1073741824 2955.517334', '2147483648 2920.791659', '4294967296 3083.550762', '']",
1633491937-40,i-0cd47f5da9eb3ec75,m5d.large,54.17660164833069, -w -m32 -e1 -x0 -d2,20316.057856,20032.148370,2783.729087,2961.734479,"['256 22164.438311', '512 22839.574412', '1024 20316.057856', '2048 21838.110822', '4096 22689.976919', '8192 23140.258091', '16384 23370.673983', '32768 22534.266382', '65536 20972.611790', '131072 20977.785870', '262144 20899.454531', '524288 20978.980199', '1048576 20032.148370', '2097152 16808.916728', '4194304 5452.943591', '8388608 3597.831733', '16777216 3141.970709', '33554432 2954.317536', '67108864 2874.067782', '134217728 2839.940547', '268435456 2827.410900', '536870912 2820.034046', '1073741824 2783.729087', '2147483648 2742.471771', '4294967296 2961.734479', '']",
1633491937-41,i-0cd47f5da9eb3ec75,m5d.large,54.6811683177948, -w -m32 -e1 -x0 -d2,20318.303792,20213.741451,2634.593421,2610.829436,"['256 22167.394760', '512 22840.343112', '1024 20318.303792', '2048 21837.302313', '4096 22684.091950', '8192 23139.145209', '16384 23371.751327', '32768 22533.778989', '65536 20971.090074', '131072 20974.632910', '262144 20882.421608', '524288 20965.511676', '1048576 20213.741451', '2097152 17218.594187', '4194304 7133.689896', '8388608 3664.846400', '16777216 3066.832761', '33554432 2827.272934', '67108864 2724.204572', '134217728 2684.093226', '268435456 2668.722840', '536870912 2658.785645', '1073741824 2634.593421', '2147483648 2602.155592', '4294967296 2610.829436', '']",
1633491937-42,i-0cd47f5da9eb3ec75,m5d.large,54.671924114227295, -w -m32 -e1 -x0 -d2,20319.053520,20005.714333,2632.565891,2605.294836,"['256 22169.263587', '512 22838.715027', '1024 20319.053520', '2048 21838.187410', '4096 22686.169582', '8192 23139.492303', '16384 23369.728816', '32768 22535.631736', '65536 20970.400974', '131072 20976.819746', '262144 20908.934499', '524288 20979.264956', '1048576 20005.714333', '2097152 16691.528037', '4194304 6177.802353', '8388608 3553.857709', '16777216 3023.117359', '33554432 2810.520543', '67108864 2719.433295', '134217728 2681.731751', '268435456 2667.880575', '536870912 2660.883111', '1073741824 2632.565891', '2147483648 2601.153418', '4294967296 2605.294836', '']",
1633491937-43,i-0cd47f5da9eb3ec75,m5d.large,55.23527503013611, -w -m32 -e1 -x0 -d2,20319.593495,20207.305978,2361.026423,2348.908880,"['256 22166.676853', '512 22843.384580', '1024 20319.593495', '2048 21838.062485', '4096 22686.685606', '8192 23139.196990', '16384 23371.538534', '32768 22537.699087', '65536 20972.752998', '131072 20976.191639', '262144 20885.548272', '524288 20980.180036', '1048576 20207.305978', '2097152 15695.703577', '4194304 4805.302140', '8388608 3065.889608', '16777216 2652.474499', '33554432 2491.747348', '67108864 2422.230985', '134217728 2397.795140', '268435456 2391.447765', '536870912 2387.383528', '1073741824 2361.026423', '2147483648 2328.204626', '4294967296 2348.908880', '']",
1633491937-44,i-0cd47f5da9eb3ec75,m5d.large,55.54069948196411, -w -m32 -e1 -x0 -d2,20317.946244,19965.454792,2248.972077,2221.405488,"['256 22169.003616', '512 22839.149403', '1024 20317.946244', '2048 21838.919058', '4096 22684.906908', '8192 23138.061574', '16384 23372.245109', '32768 22586.242449', '65536 20973.871488', '131072 20976.281874', '262144 20904.485185', '524288 20978.469014', '1048576 19965.454792', '2097152 14915.802643', '4194304 4120.292432', '8388608 2859.107309', '16777216 2500.688476', '33554432 2358.564316', '67108864 2299.058074', '134217728 2279.955794', '268435456 2277.285054', '536870912 2273.945325', '1073741824 2248.972077', '2147483648 2221.694900', '4294967296 2221.405488', '']",
1633491937-45,i-0cd47f5da9eb3ec75,m5d.large,55.611894369125366, -w -m32 -e1 -x0 -d2,20316.813162,19753.898381,2135.086519,2367.460014,"['256 22164.819827', '512 22839.680964', '1024 20316.813162', '2048 21835.501823', '4096 22687.400039', '8192 23138.286503', '16384 23368.582365', '32768 22585.717484', '65536 20970.440254', '131072 20977.821346', '262144 20885.644662', '524288 20975.333693', '1048576 19753.898381', '2097152 14260.665659', '4194304 3622.658101', '8388608 2587.318159', '16777216 2322.476950', '33554432 2217.728282', '67108864 2177.810577', '134217728 2170.273683', '268435456 2168.477929', '536870912 2162.960735', '1073741824 2135.086519', '2147483648 2116.279423', '4294967296 2367.460014', '']",
1633491937-46,i-0cd47f5da9eb3ec75,m5d.large,53.65991973876953, -w -m32 -e1 -x0 -d2,20319.290886,20062.677085,2052.774755,2030.790519,"['256 22166.516729', '512 22840.383976', '1024 20319.290886', '2048 21841.139899', '4096 22686.459583', '8192 23140.484345', '16384 23370.458205', '32768 22537.200893', '65536 20975.138310', '131072 20975.985431', '262144 20910.553524', '524288 20972.779340', '1048576 20062.677085', '2097152 15237.931276', '4194304 4966.159312', '8388608 2707.072262', '16777216 2297.519817', '33554432 2146.353721', '67108864 2089.306312', '134217728 2076.505034', '268435456 2074.603741', '536870912 2069.614344', '1073741824 2052.774755', '2147483648 2027.267307', '4294967296 2030.790519', '']",
