experimentID,instanceID,instanceType,wallTime,testOption,Average-Copy best rate,Average-Copy avg time,Average-Copy min time,Average-Copy max time,Average-Scale best rate,Average-Scale avg time,Average-Scale min time,Average-Scale max time,Average-Add best rate,Average-Add avg time,Average-Add min time,Average-Add max time,Average-Triad best rate,Average-Triad avg time,Average-Triad min time,Average-Triad max time,Output-Stream
1649267357-0,i-0af7acc39ef378d2e,m5d.large,14.010597467422485, ./stream_parser2.sh,10264.5133333,.0157509,.0155878,.0164052,19758.8533333,.0327736,.0324400,.0343460,32843.2200000,.0514487,.0507834,.0545089,45364.9133333,.0709322,.0699504,.0753734,"['Copy: 10232.0 0.015810 0.015637 0.016264 Copy: 10230.8 0.015689 0.015639 0.015816 Copy: 10204.2 0.015850 0.015680 0.016325 Copy: 10232.8 0.015756 0.015636 0.016462 Copy: 10254.4 0.015872 0.015603 0.017316 Copy: 10296.1 0.016341 0.015540 0.020010 Copy: 10250.6 0.015814 0.015609 0.016811 Copy: 10306.0 0.015582 0.015525 0.015682 Copy: 10298.0 0.015631 0.015537 0.015756 Copy: 10244.7 0.015820 0.015618 0.017223 Copy: 10280.2 0.015624 0.015564 0.015687 Copy: 10265.7 0.015654 0.015586 0.015690 Copy: 10288.8 0.015630 0.015551 0.015697 Copy: 10278.1 0.015625 0.015567 0.015739 Copy: 10305.3 0.015566 0.015526 0.015600', 'Copy_Average_Best_Rate:10264.5133333', 'Copy_Average_Avg_time:.0157509', 'Copy_Average_Min_time:.0155878', 'Copy_Average_Max_time:.0164052', 'Scale: 9457.4 0.017094 0.016918 0.017852 Scale: 9488.2 0.016928 0.016863 0.017043 Scale: 9476.9 0.016943 0.016883 0.017072 Scale: 9494.5 0.016914 0.016852 0.017034 Scale: 9497.8 0.017568 0.016846 0.022486 Scale: 9492.7 0.017620 0.016855 0.022971 Scale: 9497.8 0.016953 0.016846 0.017510 Scale: 9507.9 0.016865 0.016828 0.016918 Scale: 9525.5 0.016915 0.016797 0.017408 Scale: 9491.1 0.016912 0.016858 0.017065 Scale: 9484.9 0.017032 0.016869 0.017449 Scale: 9499.6 0.016892 0.016843 0.016972 Scale: 9498.9 0.016938 0.016844 0.017439 Scale: 9488.8 0.016919 0.016862 0.016982 Scale: 9513.1 0.016848 0.016819 0.016912', 'Scale_Average_Best_Rate:19758.8533333', 'Scale_Average_Avg_time:.0327736', 'Scale_Average_Min_time:.0324400', 'Scale_Average_Max_time:.0343460', 'Add: 12998.9 0.018564 0.018463 0.018680 Add: 13032.2 0.018602 0.018416 0.019029 Add: 12893.5 0.018794 0.018614 0.019650 Add: 13027.3 0.018709 0.018423 0.019628 Add: 13006.6 0.019023 0.018452 0.021598 Add: 13209.4 0.019647 0.018169 0.028423 Add: 13082.7 0.018734 0.018345 0.020206 Add: 13216.0 0.018377 0.018160 0.018932 Add: 13124.8 0.018335 0.018286 0.018408 Add: 13083.2 0.018907 0.018344 0.022655 Add: 13093.4 0.018681 0.018330 0.020568 Add: 13056.2 0.018503 0.018382 0.018660 Add: 13091.0 0.018448 0.018333 0.018523 Add: 13110.4 0.018443 0.018306 0.018540 Add: 13239.9 0.018359 0.018127 0.018943', 'Add_Average_Best_Rate:32843.2200000', 'Add_Average_Avg_time:.0514487', 'Add_Average_Min_time:.0507834', 'Add_Average_Max_time:.0545089', 'Triad: 12498.1 0.019298 0.019203 0.019454 Triad: 12461.7 0.019363 0.019259 0.019584 Triad: 12448.8 0.019418 0.019279 0.019759 Triad: 12465.0 0.019742 0.019254 0.022470 Triad: 12477.9 0.019349 0.019234 0.019840 Triad: 12581.2 0.020137 0.019076 0.024871 Triad: 12497.3 0.020351 0.019204 0.025792 Triad: 12563.4 0.019180 0.019103 0.019263 Triad: 12555.0 0.019197 0.019116 0.019378 Triad: 12551.7 0.019636 0.019121 0.022039 Triad: 12540.4 0.019566 0.019138 0.022361 Triad: 12484.3 0.019325 0.019224 0.019827 Triad: 12522.2 0.019234 0.019166 0.019341 Triad: 12576.0 0.019317 0.019084 0.019742 Triad: 12602.4 0.019139 0.019044 0.019246', 'Triad_Average_Best_Rate:45364.9133333', 'Triad_Average_Avg_time:.0709322', 'Triad_Average_Min_time:.0699504', 'Triad_Average_Max_time:.0753734', '']"
1649267357-0,i-009f300ebb19cee92,m5d.large,13.82290267944336, ./stream_parser2.sh,10206.1400000,.0158235,.0156769,.0165386,19677.6400000,.0328106,.0325697,.0338117,32640.7200000,.0514997,.0510841,.0530855,45111.4533333,.0710139,.0703294,.0739262,"['Copy: 10198.3 0.016875 0.015689 0.025928 Copy: 10227.0 0.015736 0.015645 0.015846 Copy: 10228.9 0.015685 0.015642 0.015775 Copy: 10224.2 0.015712 0.015649 0.015761 Copy: 10188.5 0.015771 0.015704 0.015919 Copy: 10198.8 0.015730 0.015688 0.015773 Copy: 10202.2 0.015720 0.015683 0.015843 Copy: 10223.0 0.015746 0.015651 0.016109 Copy: 10223.8 0.015746 0.015650 0.015840 Copy: 10223.6 0.015754 0.015650 0.015882 Copy: 10176.8 0.015788 0.015722 0.015862 Copy: 10226.3 0.015762 0.015646 0.015845 Copy: 10184.7 0.015770 0.015710 0.015830 Copy: 10166.5 0.015800 0.015738 0.015900 Copy: 10199.5 0.015758 0.015687 0.015967', 'Copy_Average_Best_Rate:10206.1400000', 'Copy_Average_Avg_time:.0158235', 'Copy_Average_Min_time:.0156769', 'Copy_Average_Max_time:.0165386', 'Scale: 9472.5 0.017234 0.016891 0.018728 Scale: 9485.5 0.016923 0.016868 0.017033 Scale: 9474.1 0.016965 0.016888 0.017370 Scale: 9494.5 0.016947 0.016852 0.017062 Scale: 9459.0 0.017028 0.016915 0.017381 Scale: 9459.5 0.016969 0.016914 0.017050 Scale: 9480.4 0.016937 0.016877 0.017011 Scale: 9474.2 0.016923 0.016888 0.017090 Scale: 9464.6 0.016955 0.016905 0.017039 Scale: 9474.8 0.016973 0.016887 0.017146 Scale: 9464.1 0.017017 0.016906 0.017347 Scale: 9463.5 0.016947 0.016907 0.017011 Scale: 9470.8 0.017003 0.016894 0.017371 Scale: 9459.7 0.016970 0.016914 0.017120 Scale: 9475.3 0.017016 0.016886 0.017337', 'Scale_Average_Best_Rate:19677.6400000', 'Scale_Average_Avg_time:.0328106', 'Scale_Average_Min_time:.0325697', 'Scale_Average_Max_time:.0338117', 'Add: 12971.6 0.019105 0.018502 0.023257 Add: 13028.7 0.018576 0.018421 0.018791 Add: 12968.1 0.018585 0.018507 0.018636 Add: 12987.8 0.018592 0.018479 0.018683 Add: 12963.2 0.018629 0.018514 0.018735 Add: 12955.4 0.018647 0.018525 0.018797 Add: 12987.8 0.018643 0.018479 0.019005 Add: 13042.0 0.018533 0.018402 0.018641 Add: 12942.9 0.018690 0.018543 0.019027 Add: 12934.6 0.018963 0.018555 0.021453 Add: 12909.5 0.018758 0.018591 0.018947 Add: 12949.2 0.018636 0.018534 0.018795 Add: 12915.0 0.018669 0.018583 0.018756 Add: 12860.4 0.018726 0.018662 0.018824 Add: 13030.0 0.018584 0.018419 0.018760', 'Add_Average_Best_Rate:32640.7200000', 'Add_Average_Avg_time:.0514997', 'Add_Average_Min_time:.0510841', 'Add_Average_Max_time:.0530855', 'Triad: 12486.3 0.021167 0.019221 0.036191 Triad: 12464.2 0.019380 0.019255 0.019874 Triad: 12485.7 0.019334 0.019222 0.019388 Triad: 12502.0 0.019381 0.019197 0.019703 Triad: 12472.1 0.019365 0.019243 0.019464 Triad: 12470.2 0.019443 0.019246 0.019865 Triad: 12473.9 0.019317 0.019240 0.019440 Triad: 12518.3 0.019322 0.019172 0.019500 Triad: 12458.5 0.019374 0.019264 0.019542 Triad: 12445.5 0.019630 0.019284 0.021388 Triad: 12396.8 0.019473 0.019360 0.019617 Triad: 12472.1 0.019430 0.019243 0.019915 Triad: 12416.7 0.019377 0.019329 0.019503 Triad: 12416.1 0.019459 0.019330 0.019865 Triad: 12582.6 0.019261 0.019074 0.019356', 'Triad_Average_Best_Rate:45111.4533333', 'Triad_Average_Avg_time:.0710139', 'Triad_Average_Min_time:.0703294', 'Triad_Average_Max_time:.0739262', '']"
1649267357-1,i-009f300ebb19cee92,m5d.large,14.43532395362854, ./stream_parser2.sh,10174.5866666,.0166672,.0157337,.0212423,19650.3600000,.0344295,.0326194,.0425194,32636.9733333,.0539654,.0511034,.0658474,45083.7000000,.0744146,.0703904,.0898159,"['Copy: 10178.8 0.018911 0.015719 0.033116 Copy: 10225.6 0.016840 0.015647 0.020779 Copy: 10266.3 0.016177 0.015585 0.019950 Copy: 10246.6 0.016641 0.015615 0.020110 Copy: 10208.5 0.016320 0.015673 0.020378 Copy: 10231.6 0.016840 0.015638 0.020935 Copy: 10245.3 0.016175 0.015617 0.019867 Copy: 10201.4 0.016328 0.015684 0.020776 Copy: 10234.1 0.016272 0.015634 0.020694 Copy: 10223.6 0.016846 0.015650 0.023400 Copy: 10239.4 0.016300 0.015626 0.020639 Copy: 10246.6 0.016384 0.015615 0.020674 Copy: 10257.8 0.016251 0.015598 0.020538 Copy: 10273.5 0.015704 0.015574 0.015788 Copy: 9339.7 0.018019 0.017131 0.020991', 'Copy_Average_Best_Rate:10174.5866666', 'Copy_Average_Avg_time:.0166672', 'Copy_Average_Min_time:.0157337', 'Copy_Average_Max_time:.0212423', 'Scale: 9484.8 0.017748 0.016869 0.023977 Scale: 9504.0 0.017395 0.016835 0.021355 Scale: 9489.4 0.017936 0.016861 0.021673 Scale: 9484.9 0.016927 0.016869 0.017002 Scale: 9482.1 0.017959 0.016874 0.021653 Scale: 9465.2 0.017417 0.016904 0.021364 Scale: 9503.5 0.017338 0.016836 0.020825 Scale: 9470.9 0.017918 0.016894 0.021614 Scale: 9501.2 0.018517 0.016840 0.021753 Scale: 9472.5 0.017957 0.016891 0.021246 Scale: 9501.7 0.017456 0.016839 0.021209 Scale: 9507.4 0.017885 0.016829 0.021620 Scale: 9491.7 0.018399 0.016857 0.021646 Scale: 9480.4 0.017822 0.016877 0.021003 Scale: 9296.9 0.017761 0.017210 0.021216', 'Scale_Average_Best_Rate:19650.3600000', 'Scale_Average_Avg_time:.0344295', 'Scale_Average_Min_time:.0326194', 'Scale_Average_Max_time:.0425194', 'Add: 12980.1 0.020013 0.018490 0.024605 Add: 13003.9 0.020321 0.018456 0.024202 Add: 13068.4 0.019068 0.018365 0.023435 Add: 13116.9 0.019485 0.018297 0.023478 Add: 13014.5 0.019174 0.018441 0.024266 Add: 13003.9 0.019743 0.018456 0.024160 Add: 13072.0 0.019549 0.018360 0.023513 Add: 12913.7 0.019303 0.018585 0.024390 Add: 13053.3 0.018587 0.018386 0.018792 Add: 13008.1 0.019787 0.018450 0.024264 Add: 13027.8 0.020155 0.018422 0.024186 Add: 13027.1 0.019216 0.018423 0.024421 Add: 13050.4 0.018560 0.018390 0.019040 Add: 13097.5 0.019653 0.018324 0.023390 Add: 12361.6 0.020425 0.019415 0.023778', 'Add_Average_Best_Rate:32636.9733333', 'Add_Average_Avg_time:.0539654', 'Add_Average_Min_time:.0511034', 'Add_Average_Max_time:.0658474', 'Triad: 12471.4 0.020982 0.019244 0.028965 Triad: 12509.7 0.019336 0.019185 0.019763 Triad: 12527.3 0.020285 0.019158 0.023645 Triad: 12526.7 0.020173 0.019159 0.023304 Triad: 12548.4 0.020345 0.019126 0.024104 Triad: 12499.3 0.020339 0.019201 0.023789 Triad: 12533.9 0.020174 0.019148 0.023598 Triad: 12480.4 0.020346 0.019230 0.023783 Triad: 12446.2 0.020769 0.019283 0.023543 Triad: 12451.4 0.020883 0.019275 0.023878 Triad: 12511.1 0.020562 0.019183 0.025809 Triad: 12479.2 0.020311 0.019232 0.023936 Triad: 12452.8 0.020786 0.019273 0.023949 Triad: 12530.0 0.020163 0.019154 0.023402 Triad: 11733.1 0.021283 0.020455 0.024060', 'Triad_Average_Best_Rate:45083.7000000', 'Triad_Average_Avg_time:.0744146', 'Triad_Average_Min_time:.0703904', 'Triad_Average_Max_time:.0898159', '']"
1649267357-2,i-009f300ebb19cee92,m5d.large,14.436278820037842, ./stream_parser2.sh,10179.8533333,.0167075,.0157251,.0205569,19651.2666666,.0343879,.0326185,.0413207,32652.3533333,.0540636,.0510822,.0647692,45108.5333333,.0743666,.0703544,.0879918,"['Copy: 10265.5 0.018163 0.015586 0.028827 Copy: 10237.3 0.016185 0.015629 0.019857 Copy: 10230.8 0.017463 0.015639 0.020953 Copy: 10238.0 0.015790 0.015628 0.016245 Copy: 10210.6 0.016281 0.015670 0.020374 Copy: 10232.2 0.016335 0.015637 0.020759 Copy: 10226.3 0.016233 0.015646 0.019952 Copy: 10253.8 0.016179 0.015604 0.019914 Copy: 10245.3 0.017324 0.015617 0.021379 Copy: 10235.5 0.016797 0.015632 0.020360 Copy: 10238.0 0.016255 0.015628 0.020412 Copy: 9366.6 0.017733 0.017082 0.021706 Copy: 10191.2 0.016842 0.015700 0.020982 Copy: 10258.3 0.017345 0.015597 0.020784 Copy: 10268.4 0.015688 0.015582 0.015850', 'Copy_Average_Best_Rate:10179.8533333', 'Copy_Average_Avg_time:.0167075', 'Copy_Average_Min_time:.0157251', 'Copy_Average_Max_time:.0205569', 'Scale: 9480.4 0.018817 0.016877 0.024740 Scale: 9483.2 0.017370 0.016872 0.020920 Scale: 9490.4 0.016942 0.016859 0.017061 Scale: 9489.9 0.018464 0.016860 0.021832 Scale: 9481.6 0.018004 0.016875 0.021539 Scale: 9496.6 0.017831 0.016848 0.020881 Scale: 9472.5 0.017828 0.016891 0.020848 Scale: 9493.3 0.017405 0.016854 0.020902 Scale: 9502.3 0.016900 0.016838 0.017016 Scale: 9472.0 0.017442 0.016892 0.021402 Scale: 9480.3 0.017463 0.016877 0.021569 Scale: 9294.7 0.017780 0.017214 0.021847 Scale: 9462.5 0.017539 0.016909 0.021670 Scale: 9482.7 0.016939 0.016873 0.017062 Scale: 9488.8 0.018482 0.016862 0.022168', 'Scale_Average_Best_Rate:19651.2666666', 'Scale_Average_Avg_time:.0343879', 'Scale_Average_Min_time:.0326185', 'Scale_Average_Max_time:.0413207', 'Add: 13097.0 0.019361 0.018325 0.024062 Add: 13112.0 0.019561 0.018304 0.023510 Add: 13036.2 0.020368 0.018410 0.024267 Add: 13013.0 0.018568 0.018443 0.018707 Add: 12982.8 0.019214 0.018486 0.024352 Add: 13040.6 0.019652 0.018404 0.024263 Add: 13014.3 0.019605 0.018441 0.023347 Add: 13102.6 0.019577 0.018317 0.023414 Add: 13081.8 0.020186 0.018346 0.024168 Add: 13011.6 0.020052 0.018445 0.024400 Add: 13019.6 0.019858 0.018434 0.024451 Add: 12355.9 0.020129 0.019424 0.024942 Add: 12924.8 0.019924 0.018569 0.024198 Add: 13072.5 0.020532 0.018359 0.024939 Add: 13151.6 0.018548 0.018249 0.018708', 'Add_Average_Best_Rate:32652.3533333', 'Add_Average_Avg_time:.0540636', 'Add_Average_Min_time:.0510822', 'Add_Average_Max_time:.0647692', 'Triad: 12488.9 0.021780 0.019217 0.027800 Triad: 12515.6 0.020159 0.019176 0.023285 Triad: 12488.9 0.019288 0.019217 0.019348 Triad: 12483.8 0.020704 0.019225 0.023868 Triad: 12470.1 0.020316 0.019246 0.023874 Triad: 12533.9 0.020184 0.019148 0.023336 Triad: 12490.9 0.020176 0.019214 0.023492 Triad: 12545.1 0.020088 0.019131 0.023048 Triad: 12528.1 0.019214 0.019157 0.019266 Triad: 12538.4 0.020322 0.019141 0.024456 Triad: 12520.2 0.020367 0.019169 0.024048 Triad: 11759.0 0.021929 0.020410 0.024953 Triad: 12425.6 0.019912 0.019315 0.024230 Triad: 12526.9 0.019302 0.019159 0.019355 Triad: 12527.3 0.020804 0.019158 0.023980', 'Triad_Average_Best_Rate:45108.5333333', 'Triad_Average_Avg_time:.0743666', 'Triad_Average_Min_time:.0703544', 'Triad_Average_Max_time:.0879918', '']"
1649267357-0,i-088ef8d134dea6110,m5d.large,13.798167705535889, ./stream_parser2.sh,10186.4066666,.0159483,.0157152,.0164394,19663.8733333,.0330007,.0325979,.0344116,32717.2266666,.0516335,.0509882,.0538675,45178.6933333,.0711166,.0702520,.0742794,"['Copy: 10245.3 0.018023 0.015617 0.023276 Copy: 10280.8 0.015633 0.015563 0.015679 Copy: 10235.9 0.015729 0.015631 0.016127 Copy: 10284.1 0.015632 0.015558 0.015723 Copy: 10246.6 0.015673 0.015615 0.015724 Copy: 9368.2 0.017136 0.017079 0.017224 Copy: 10273.5 0.015627 0.015574 0.015700 Copy: 10250.5 0.015676 0.015609 0.015725 Copy: 10242.7 0.015766 0.015621 0.016149 Copy: 10169.7 0.015808 0.015733 0.015864 Copy: 10241.4 0.015704 0.015623 0.016118 Copy: 10281.4 0.015682 0.015562 0.015748 Copy: 10265.5 0.015662 0.015586 0.015835 Copy: 10165.2 0.015806 0.015740 0.015878 Copy: 10245.3 0.015668 0.015617 0.015821', 'Copy_Average_Best_Rate:10186.4066666', 'Copy_Average_Avg_time:.0159483', 'Copy_Average_Min_time:.0157152', 'Copy_Average_Max_time:.0164394', 'Scale: 9493.3 0.018549 0.016854 0.030247 Scale: 9510.8 0.016864 0.016823 0.016952 Scale: 9483.7 0.016903 0.016871 0.017002 Scale: 9509.1 0.016873 0.016826 0.016990 Scale: 9510.9 0.016965 0.016823 0.017272 Scale: 9295.9 0.017242 0.017212 0.017292 Scale: 9498.4 0.016888 0.016845 0.016955 Scale: 9503.5 0.016904 0.016836 0.017006 Scale: 9501.7 0.016878 0.016839 0.016941 Scale: 9438.4 0.017004 0.016952 0.017094 Scale: 9499.4 0.016890 0.016843 0.016998 Scale: 9516.4 0.016886 0.016813 0.016925 Scale: 9501.2 0.016940 0.016840 0.017399 Scale: 9411.1 0.017039 0.017001 0.017100 Scale: 9488.2 0.016961 0.016863 0.017410', 'Scale_Average_Best_Rate:19663.8733333', 'Scale_Average_Avg_time:.0330007', 'Scale_Average_Min_time:.0325979', 'Scale_Average_Max_time:.0344116', 'Add: 13059.8 0.019882 0.018377 0.027554 Add: 13124.8 0.018411 0.018286 0.018792 Add: 13048.4 0.018479 0.018393 0.018600 Add: 13225.2 0.018300 0.018147 0.018502 Add: 13237.0 0.018345 0.018131 0.018611 Add: 12379.4 0.019471 0.019387 0.019858 Add: 13079.1 0.018413 0.018350 0.018566 Add: 13033.5 0.018547 0.018414 0.019058 Add: 13083.4 0.018438 0.018344 0.018588 Add: 12979.9 0.018965 0.018490 0.020495 Add: 13145.7 0.018405 0.018257 0.018539 Add: 13139.9 0.018469 0.018265 0.018879 Add: 13116.3 0.018406 0.018298 0.018498 Add: 13014.5 0.018557 0.018441 0.018771 Add: 13133.4 0.018404 0.018274 0.018528', 'Add_Average_Best_Rate:32717.2266666', 'Add_Average_Avg_time:.0516335', 'Add_Average_Min_time:.0509882', 'Add_Average_Max_time:.0538675', 'Triad: 12513.2 0.020980 0.019180 0.030972 Triad: 12570.7 0.019197 0.019092 0.019269 Triad: 12509.7 0.019240 0.019185 0.019363 Triad: 12551.5 0.019215 0.019121 0.019547 Triad: 12552.9 0.019251 0.019119 0.019415 Triad: 11800.0 0.020433 0.020339 0.020535 Triad: 12504.0 0.019294 0.019194 0.019691 Triad: 12522.8 0.019234 0.019165 0.019293 Triad: 12494.8 0.019262 0.019208 0.019366 Triad: 12378.2 0.019674 0.019389 0.021394 Triad: 12552.3 0.019219 0.019120 0.019367 Triad: 12523.6 0.019232 0.019164 0.019328 Triad: 12544.3 0.019207 0.019132 0.019303 Triad: 12390.2 0.019555 0.019370 0.019990 Triad: 12513.8 0.019253 0.019179 0.019346', 'Triad_Average_Best_Rate:45178.6933333', 'Triad_Average_Avg_time:.0711166', 'Triad_Average_Min_time:.0702520', 'Triad_Average_Max_time:.0742794', '']"
1649267357-1,i-088ef8d134dea6110,m5d.large,14.369089603424072, ./stream_parser2.sh,10241.5400000,.0165654,.0156227,.0201413,19732.2866666,.0344035,.0324812,.0415924,32814.5333333,.0538396,.0508270,.0652362,45309.2666666,.0742124,.0700352,.0892897,"['Copy: 10201.6 0.019314 0.015684 0.028012 Copy: 10251.3 0.016673 0.015608 0.020354 Copy: 10240.0 0.015718 0.015625 0.015794 Copy: 10241.3 0.015732 0.015623 0.015807 Copy: 10238.8 0.016254 0.015627 0.020446 Copy: 10215.2 0.016748 0.015663 0.020883 Copy: 10296.1 0.016201 0.015540 0.020754 Copy: 10257.7 0.015769 0.015598 0.016083 Copy: 10247.8 0.016344 0.015613 0.019723 Copy: 10193.6 0.016271 0.015696 0.020625 Copy: 10276.1 0.016179 0.015570 0.020265 Copy: 10221.6 0.016317 0.015653 0.020831 Copy: 10255.0 0.016786 0.015602 0.020915 Copy: 10232.0 0.016811 0.015637 0.020854 Copy: 10255.0 0.017365 0.015602 0.020774', 'Copy_Average_Best_Rate:10241.5400000', 'Copy_Average_Avg_time:.0165654', 'Copy_Average_Min_time:.0156227', 'Copy_Average_Max_time:.0201413', 'Scale: 9488.2 0.018523 0.016863 0.025347 Scale: 9486.6 0.017895 0.016866 0.021539 Scale: 9488.3 0.018399 0.016863 0.021646 Scale: 9485.5 0.018353 0.016868 0.021665 Scale: 9493.8 0.017386 0.016853 0.020900 Scale: 9480.9 0.017803 0.016876 0.020859 Scale: 9501.7 0.017936 0.016839 0.021667 Scale: 9511.8 0.017955 0.016821 0.021822 Scale: 9501.2 0.018132 0.016840 0.021560 Scale: 9474.1 0.018129 0.016888 0.022761 Scale: 9498.4 0.017903 0.016845 0.021507 Scale: 9475.3 0.017383 0.016886 0.020994 Scale: 9498.9 0.017393 0.016844 0.020920 Scale: 9489.9 0.017449 0.016860 0.021576 Scale: 9486.6 0.016932 0.016866 0.017003', 'Scale_Average_Best_Rate:19732.2866666', 'Scale_Average_Avg_time:.0344035', 'Scale_Average_Min_time:.0324812', 'Scale_Average_Max_time:.0415924', 'Add: 13028.0 0.020687 0.018422 0.030111 Add: 13151.6 0.018482 0.018249 0.018938 Add: 13054.0 0.018983 0.018385 0.023214 Add: 13083.4 0.019045 0.018344 0.023140 Add: 13126.3 0.019428 0.018284 0.023005 Add: 13108.2 0.018936 0.018309 0.023290 Add: 13144.9 0.019052 0.018258 0.024260 Add: 13049.1 0.019099 0.018392 0.024266 Add: 13102.6 0.018614 0.018317 0.020061 Add: 13064.2 0.020084 0.018371 0.024083 Add: 13153.6 0.019533 0.018246 0.023654 Add: 12986.3 0.019766 0.018481 0.024205 Add: 13032.9 0.019632 0.018415 0.023826 Add: 13083.2 0.019770 0.018344 0.024248 Add: 13065.4 0.020430 0.018369 0.024356', 'Add_Average_Best_Rate:32814.5333333', 'Add_Average_Avg_time:.0538396', 'Add_Average_Min_time:.0508270', 'Add_Average_Max_time:.0652362', 'Triad: 12441.1 0.022032 0.019291 0.031426 Triad: 12496.1 0.020292 0.019206 0.023714 Triad: 12470.7 0.020360 0.019245 0.024277 Triad: 12450.8 0.020347 0.019276 0.023824 Triad: 12548.2 0.020185 0.019126 0.023249 Triad: 12497.5 0.019720 0.019204 0.022968 Triad: 12535.3 0.020776 0.019146 0.023888 Triad: 12507.2 0.020791 0.019189 0.024079 Triad: 12545.1 0.021156 0.019131 0.024830 Triad: 12455.2 0.019896 0.019269 0.024213 Triad: 12508.5 0.020280 0.019187 0.023797 Triad: 12453.9 0.020302 0.019271 0.023838 Triad: 12517.0 0.019753 0.019174 0.023153 Triad: 12513.2 0.020336 0.019180 0.023834 Triad: 12481.2 0.019366 0.019229 0.019713', 'Triad_Average_Best_Rate:45309.2666666', 'Triad_Average_Avg_time:.0742124', 'Triad_Average_Min_time:.0700352', 'Triad_Average_Max_time:.0892897', '']"
