instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,setId,vmId,cmd,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,477 Mbits/sec,241 Mbits/sec,14,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,483 Mbits/sec,259 Mbits/sec,14,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,487 Mbits/sec,280 Mbits/sec,14,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,451 Mbits/sec,230 Mbits/sec,15,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,457 Mbits/sec,247 Mbits/sec,15,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,455 Mbits/sec,239 Mbits/sec,15,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,419 Mbits/sec,228 Mbits/sec,16,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,426 Mbits/sec,228 Mbits/sec,16,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-0dc0300b0906ae645,c3.large,1540010941,15.0 sec,433 Mbits/sec,250 Mbits/sec,16,14,iperf -c 54.227.209.37 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,549 Mbits/sec,489 Mbits/sec,10,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,473 Mbits/sec,471 Mbits/sec,10,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,472 Mbits/sec,504 Mbits/sec,10,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,551 Mbits/sec,271 Mbits/sec,11,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,473 Mbits/sec,348 Mbits/sec,11,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,475 Mbits/sec,327 Mbits/sec,11,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,550 Mbits/sec,284 Mbits/sec,12,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,476 Mbits/sec,261 Mbits/sec,12,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,477 Mbits/sec,246 Mbits/sec,12,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,520 Mbits/sec,278 Mbits/sec,13,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,261 Mbits/sec,502 Mbits/sec,13,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,477 Mbits/sec,267 Mbits/sec,13,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,490 Mbits/sec,247 Mbits/sec,14,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,484 Mbits/sec,247 Mbits/sec,14,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,264 Mbits/sec,480 Mbits/sec,14,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,449 Mbits/sec,244 Mbits/sec,15,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,454 Mbits/sec,248 Mbits/sec,15,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,445 Mbits/sec,239 Mbits/sec,15,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,425 Mbits/sec,233 Mbits/sec,16,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,418 Mbits/sec,230 Mbits/sec,16,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-03602067ac2e120cf,c3.large,1540010941,15.0 sec,416 Mbits/sec,219 Mbits/sec,16,10,iperf -c 54.208.17.177 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,548 Mbits/sec,547 Mbits/sec,8,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,473 Mbits/sec,473 Mbits/sec,8,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,474 Mbits/sec,471 Mbits/sec,8,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,547 Mbits/sec,549 Mbits/sec,9,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,472 Mbits/sec,474 Mbits/sec,9,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,473 Mbits/sec,472 Mbits/sec,9,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
