"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"934","i-0766f4e34cd7a2806","Thu May 17 06:53:26 2018",7.549,7.756,8.21058297157288,1,10
"935","i-0766f4e34cd7a2806","Thu May 17 06:53:35 2018",7.556,7.771,8.21552085876465,1,10
"936","i-0766f4e34cd7a2806","Thu May 17 06:53:43 2018",7.58,7.788,8.23046445846558,1,10
"937","i-0766f4e34cd7a2806","Thu May 17 06:53:52 2018",7.524,7.731,8.17666435241699,1,10
"938","i-0766f4e34cd7a2806","Thu May 17 06:54:00 2018",7.528,7.742,8.18667054176331,1,10
"939","i-0766f4e34cd7a2806","Thu May 17 06:54:09 2018",7.523,7.731,8.17037081718445,1,10
"940","i-0766f4e34cd7a2806","Thu May 17 06:54:17 2018",7.491,7.704,8.1423647403717,1,10
"1","i-0e2f3174a206a8fd8","Thu May 17 06:53:01 2018",7.746,7.916,8.44325804710388,1,11
"2","i-0e2f3174a206a8fd8","Thu May 17 06:53:10 2018",7.734,7.946,8.38740158081055,1,11
"3","i-0e2f3174a206a8fd8","Thu May 17 06:53:19 2018",7.724,7.978,8.4196994304657,1,11
"4","i-0e2f3174a206a8fd8","Thu May 17 06:53:27 2018",7.721,7.94,8.3865909576416,1,11
"5","i-0e2f3174a206a8fd8","Thu May 17 06:53:36 2018",7.731,7.943,8.38718771934509,1,11
"6","i-0e2f3174a206a8fd8","Thu May 17 06:53:44 2018",7.75,7.96,8.40674138069153,1,11
"7","i-0e2f3174a206a8fd8","Thu May 17 06:53:53 2018",7.72,7.939,8.38202404975891,1,11
"8","i-0e2f3174a206a8fd8","Thu May 17 06:54:02 2018",7.698,7.913,8.36135196685791,1,11
"9","i-0e2f3174a206a8fd8","Thu May 17 06:54:10 2018",7.693,7.905,8.34171748161316,1,11
"10","i-0e2f3174a206a8fd8","Thu May 17 06:54:19 2018",7.68,7.887,8.32535648345947,1,11
"1171","i-09172c03c58b3f6b2","Thu May 17 06:53:01 2018",7.689,7.864,8.3794207572937,1,12
"1172","i-09172c03c58b3f6b2","Thu May 17 06:53:10 2018",7.686,7.899,8.34017014503479,1,12
"1173","i-09172c03c58b3f6b2","Thu May 17 06:53:18 2018",7.687,7.96,8.40327143669128,1,12
