"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"749","i-0db07fe843fe06fd3","Thu May 24 06:22:07 2018",7.329,7.537,7.96926283836365,6,16
"750","i-0db07fe843fe06fd3","Thu May 24 06:22:15 2018",7.363,7.573,8.00424981117249,6,16
"751","i-0db07fe843fe06fd3","Thu May 24 06:24:01 2018",7.384,7.546,8.05295705795288,7,16
"752","i-0db07fe843fe06fd3","Thu May 24 06:24:09 2018",7.396,7.61,8.0445864200592,7,16
"753","i-0db07fe843fe06fd3","Thu May 24 06:24:18 2018",7.371,7.58,8.01745176315308,7,16
"754","i-0db07fe843fe06fd3","Thu May 24 06:24:26 2018",7.371,7.581,8.01336908340454,7,16
"755","i-0db07fe843fe06fd3","Thu May 24 06:24:34 2018",7.364,7.581,8.01587796211243,7,16
"756","i-0db07fe843fe06fd3","Thu May 24 06:24:42 2018",7.38,7.591,8.02293634414673,7,16
"757","i-0db07fe843fe06fd3","Thu May 24 06:24:51 2018",7.371,7.582,8.01657342910767,7,16
"758","i-0db07fe843fe06fd3","Thu May 24 06:24:59 2018",7.712,7.931,8.36833310127258,7,16
"759","i-0db07fe843fe06fd3","Thu May 24 06:25:07 2018",8.165,8.377,8.83391714096069,7,16
"760","i-0db07fe843fe06fd3","Thu May 24 06:25:16 2018",7.374,7.588,8.03034639358521,7,16
"761","i-0db07fe843fe06fd3","Thu May 24 06:27:02 2018",7.526,7.69,8.20512938499451,8,16
"762","i-0db07fe843fe06fd3","Thu May 24 06:27:10 2018",7.516,7.73,8.16650700569153,8,16
"763","i-0db07fe843fe06fd3","Thu May 24 06:27:19 2018",7.533,7.741,8.17547845840454,8,16
"764","i-0db07fe843fe06fd3","Thu May 24 06:27:27 2018",7.553,7.76,8.19331860542297,8,16
"765","i-0db07fe843fe06fd3","Thu May 24 06:27:35 2018",7.535,7.74,8.17208981513977,8,16
"766","i-0db07fe843fe06fd3","Thu May 24 06:27:44 2018",7.524,7.732,8.16554689407349,8,16
"767","i-0db07fe843fe06fd3","Thu May 24 06:27:52 2018",7.548,7.762,8.19684934616089,8,16
"768","i-0db07fe843fe06fd3","Thu May 24 06:28:01 2018",7.562,7.774,8.20833587646484,8,16
"769","i-0db07fe843fe06fd3","Thu May 24 06:28:10 2018",7.544,7.755,8.18737173080444,8,16
"770","i-0db07fe843fe06fd3","Thu May 24 06:28:18 2018",7.527,7.732,8.16172981262207,8,16
"771","i-0db07fe843fe06fd3","Thu May 24 06:30:02 2018",7.502,7.668,8.19968748092651,9,16
"772","i-0db07fe843fe06fd3","Thu May 24 06:30:10 2018",7.505,7.72,8.15906524658203,9,16
"773","i-0db07fe843fe06fd3","Thu May 24 06:30:19 2018",7.554,7.768,8.20640778541565,9,16
"774","i-0db07fe843fe06fd3","Thu May 24 06:30:27 2018",7.605,7.82,8.25844693183899,9,16
"775","i-0db07fe843fe06fd3","Thu May 24 06:30:35 2018",7.546,7.754,8.19108104705811,9,16
"776","i-0db07fe843fe06fd3","Thu May 24 06:30:44 2018",7.558,7.766,8.2012152671814,9,16
"777","i-0db07fe843fe06fd3","Thu May 24 06:30:52 2018",7.54,7.753,8.18894267082214,9,16
"778","i-0db07fe843fe06fd3","Thu May 24 06:31:01 2018",7.588,7.797,8.23514318466187,9,16
"779","i-0db07fe843fe06fd3","Thu May 24 06:31:09 2018",7.563,7.777,8.21428442001343,9,16
"780","i-0db07fe843fe06fd3","Thu May 24 06:31:18 2018",7.568,7.781,8.21198201179504,9,16
"781","i-0db07fe843fe06fd3","Thu May 24 06:33:01 2018",7.492,7.651,8.08920907974243,10,16
"782","i-0db07fe843fe06fd3","Thu May 24 06:33:09 2018",7.616,7.828,8.26530885696411,10,16
"783","i-0db07fe843fe06fd3","Thu May 24 06:33:18 2018",7.543,7.75,8.32055926322937,10,16
"784","i-0db07fe843fe06fd3","Thu May 24 06:33:26 2018",7.565,7.77,8.20287895202637,10,16
"785","i-0db07fe843fe06fd3","Thu May 24 06:33:35 2018",7.541,7.748,8.19509530067444,10,16
"786","i-0db07fe843fe06fd3","Thu May 24 06:33:43 2018",7.541,7.751,8.19547986984253,10,16
"787","i-0db07fe843fe06fd3","Thu May 24 06:33:52 2018",7.561,7.908,8.35574984550476,10,16
"788","i-0db07fe843fe06fd3","Thu May 24 06:34:00 2018",7.622,7.833,8.27233338356018,10,16
"789","i-0db07fe843fe06fd3","Thu May 24 06:34:09 2018",7.607,7.821,8.26244735717773,10,16
"790","i-0db07fe843fe06fd3","Thu May 24 06:34:17 2018",7.558,7.77,8.21156001091003,10,16
"791","i-0db07fe843fe06fd3","Thu May 24 06:36:02 2018",7.535,7.702,8.16058397293091,11,16
"792","i-0db07fe843fe06fd3","Thu May 24 06:36:10 2018",7.597,7.817,8.25355553627014,11,16
"793","i-0db07fe843fe06fd3","Thu May 24 06:36:18 2018",7.563,7.776,8.21357607841492,11,16
"794","i-0db07fe843fe06fd3","Thu May 24 06:36:27 2018",7.566,7.78,8.21638822555542,11,16
"795","i-0db07fe843fe06fd3","Thu May 24 06:36:35 2018",7.603,7.813,8.24691891670227,11,16
"796","i-0db07fe843fe06fd3","Thu May 24 06:36:44 2018",7.614,7.827,8.26046848297119,11,16
"797","i-0db07fe843fe06fd3","Thu May 24 06:36:52 2018",7.577,7.787,8.22614359855652,11,16
"798","i-0db07fe843fe06fd3","Thu May 24 06:37:01 2018",7.617,7.828,8.26748895645142,11,16
"799","i-0db07fe843fe06fd3","Thu May 24 06:37:09 2018",7.573,7.779,8.2161865234375,11,16
"800","i-0db07fe843fe06fd3","Thu May 24 06:37:18 2018",7.614,7.828,8.25586223602295,11,16
"801","i-0db07fe843fe06fd3","Thu May 24 06:39:01 2018",7.796,7.959,8.42577314376831,12,16
"802","i-0db07fe843fe06fd3","Thu May 24 06:39:10 2018",7.848,8.083,8.52460885047913,12,16
"803","i-0db07fe843fe06fd3","Thu May 24 06:39:18 2018",7.854,8.068,8.50697350502014,12,16
"804","i-0db07fe843fe06fd3","Thu May 24 06:39:27 2018",7.835,8.044,8.48102784156799,12,16
"805","i-0db07fe843fe06fd3","Thu May 24 06:39:36 2018",7.867,8.076,8.51550340652466,12,16
"806","i-0db07fe843fe06fd3","Thu May 24 06:39:45 2018",7.84,8.049,8.48579168319702,12,16
